dc_class,dc,dcca_class,dcca,dc_eng,ca_eng,dcca_eng,dc_chi,ca_chi,dcca_chi,t_pop,pop_m,pop_f,sr,age_1,age_2,age_3,age_4,age_5,t_ma,ma_m,ma_f,born_hk,born_chi,born_else,ethn_chi,ethn_phi,ethn_ind,ethn_wh,ethn_oth,ms_nm_m,ms_ma_m,ms_win_m,ms_div_m,ms_sep_m,ms_nm_f,ms_m_f,ms_win_f,ms_div_f,ms_sep_f,ul_can,ul_put,ul_othchi,ul_eng,ul_oth,edu_prepri,edu_pri,edu_lsed,edu_usec,edu_dip,edu_sub,edu_deg,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,s_diff_oth,t_lf,lf_m,lf_f,lfpr_t,lfpr_m,lfpr_f,t_wp,wp_ee,wp_er,wp_se,wp_fw,t_nwp,nwp_hm,nwp_st,nwp_re,nwp_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_nofix,plw_hm,plw_out,mearn_xfdh_1,mearn_xfdh_2,mearn_xfdh_3,mearn_xfdh_4,mearn_xfdh_5,mearn_xfdh_6,mearn_xfdh_7,t_mmearn,mmearm_m,mmearn_f,mearn_xfdhfw_1,mearn_xfdhfw_2,mearn_xfdhfw_3,mearn_xfdhfw_4,mearn_xfdhfw_5,mearn_xfdhfw_6,mearn_xfdhfw_7,t_mmearn_xfdh,mmearn_xfdh_m,mmearn_xfdh_f,wp_a,wp_b,wp_c,wp_d,wp_e,wp_f,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_t,dh,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,adhz,dhc_1,dhc_2,dhc_3,dhc_4,dhc_5,dhc_6,dhc_7,dhc_8,dhi_1,dhi_2,dhi_3,dhi_4,dhi_5,dhi_6,dhi_7,ma_hh,dhi_e1,dhi_e2,dhi_e3,dhi_e4,dhi_e5,dhi_e6,dhi_e7,ma_econhh,oq_pub,oq_s,oq_pri,oq_non,oq_tem,dh_pub,dh_s,dh_pri,dh_non,dh_tem,pop_pub,pop_s,pop_pri,pop_non,pop_tem,dh_r1,dh_r2,dh_r3,dh_r4,dh_r5,dh_r6,dh_r0,dh_ocm,dh_ocwm,dh_st,dh_co,dh_rf,dh_emp,dhm_1,dhm_2,dhm_3,dhm_4,dhm_5,dhm_6,dhm_7,dhm_loan,dhm_lr,dhr_1,dhr_2,dhr_3,dhr_4,dm_r,dmr_ir,pm_hk,pm_kln,pm_nt,pm_oth,pm_samearea,pm_same,pm_out
A,11,A01,1101,Central and Western,Chung Wan,Central and Western - Chung Wan,中西區,中環,中西區 - 中環,14052,6817,7235,942,1238,1368,4906,4451,2089,42.455,42.5,42.4,6621,4117,3314,11119,746,271,1001,915,2301,3428,84,182,95,2252,3476,621,271,104,8906,605,710,2441,892,564,1757,1605,3464,775,433,4216,879,514,194,56,15,8632,4509,4123,67.4,74,61.3,8404,7324,490,520,70,5648,803,1639,1956,1250,3806,1642,910,370,25,264,1141,246,1772,1131,1969,1158,434,786,1084,15000,19000,8500,848,1111,1969,1158,434,786,1084,17000,19000,15000,1499,1007,1615,882,1071,288,156,1886,-,264,283,1631,308,504,265,1353,1355,1152,1277,12,5860,2239,1365,1081,648,302,225,2.3,760,1474,513,66,128,362,2239,318,579,406,811,765,714,1000,1585,34080,169,260,778,708,612,922,1432,36000,-,-,5384,485,16,-,-,5359,485,16,-,-,13325,711,16,359,1769,1802,991,379,299,261,544,1994,2373,135,277,537,48,37,84,72,8,144,151,12000,23,404,619,663,1359,9000,28,553,265,358,1,1269,8446,2665
A,11,A02,1102,Central and Western,Mid Levels East,Central and Western - Mid Levels East,中西區,半山東,中西區 - 半山東,17645,8325,9320,893,1763,1530,6482,5515,2355,41.7801302932,43,41.3,9790,2934,4921,12970,1018,359,2073,1225,2733,4262,103,311,31,2914,4834,384,259,51,11380,392,246,3933,1032,507,749,875,4115,1019,518,8099,1208,637,94,162,-,10598,5486,5112,66.7,73.7,60.6,10264,8758,835,590,81,7381,1314,2335,2210,1522,3919,1751,1541,677,206,341,1504,325,1672,495,1415,1336,951,1347,2967,30000,45000,19000,307,478,1415,1336,951,1347,2967,36250,45000,30000,3209,2161,2090,688,442,83,101,1490,-,111,284,1812,480,281,615,1750,1804,1540,1543,44,7217,2545,1864,1106,1015,501,186,2.4,1440,2042,314,12,198,327,2545,339,607,165,592,431,814,1087,3521,57000,14,68,426,346,735,1042,3354,70000,-,-,7177,145,10,-,-,7065,142,10,-,-,17456,162,27,105,1084,2216,1630,1531,647,4,1636,2524,2628,20,247,162,140,86,127,99,77,600,507,15000,17.5,226,65,187,2332,16500,25,1206,719,599,241,2287,9383,2576
A,11,A03,1103,Central and Western,Castle Road,Central and Western - Castle Road,中西區,衛城,中西區 - 衛城,19260,8178,11082,738,2565,1745,7033,5843,2074,40.4376528117,41.9,39.5,10894,2471,5895,14308,1982,626,1241,1103,1883,4686,74,198,22,3056,5880,529,301,66,12508,218,184,4812,490,314,467,1070,4646,1433,764,8001,1165,1276,138,194,37,10803,4838,5965,64.7,70.5,60.7,10692,9082,1183,394,33,8568,1185,3237,2552,1594,3424,2222,1241,527,79,126,2743,330,2889,280,1078,1084,960,1327,3041,29000,50000,10500,227,260,1078,1084,960,1327,3041,44400,50000,35000,3504,1785,1721,493,330,69,43,2747,-,152,210,1489,293,108,452,2136,1657,1335,2834,26,6173,1102,1506,1114,1229,840,382,3.1,1359,2300,397,133,214,353,1102,315,359,124,308,255,433,803,3891,82070,25,47,188,165,304,794,3688,100000,-,-,6210,-,-,-,-,6173,-,-,-,-,19260,-,-,-,350,825,1537,1966,1495,-,1718,2261,1636,-,197,361,91,23,18,70,38,506,972,22200,20.2,87,196,85,1629,27000,24.2,1141,422,814,3,2945,10519,2368
A,11,A04,1104,Central and Western,Peak,Central and Western - Peak,中西區,山頂,中西區 - 山頂,20431,8169,12262,666,3002,1893,7776,6183,1577,39.6805825243,40.8,39,7773,2078,10580,10571,3877,670,3343,1970,1798,4626,85,116,79,3313,6366,509,403,134,7752,349,378,9527,1141,327,502,1187,4761,692,553,9407,1122,1292,339,127,34,11953,5004,6949,68.6,74.6,64.8,11788,9596,1551,559,82,8643,1633,3641,1364,2005,3639,1307,1141,267,105,119,4852,358,4534,466,782,766,410,802,3946,20000,90000,4500,232,168,733,766,410,802,3946,70000,100000,45000,3929,1455,1284,201,130,13,124,4652,-,239,130,1595,231,141,152,2362,1212,889,4837,-,5630,839,1094,914,993,984,806,3.5,1187,2425,270,52,91,273,839,493,368,78,228,143,205,483,4125,147500,26,36,166,96,201,359,3904,167330,-,-,5550,204,-,-,-,5466,164,-,-,-,20071,360,-,81,264,431,540,1051,3263,-,955,1521,1979,13,327,835,150,35,44,54,24,102,546,28000,20.6,303,62,232,2230,30000,20.1,1203,667,425,322,3463,8325,4745
A,11,A05,1105,Central and Western,University,Central and Western - University,中西區,大學,中西區 - 大學,19497,8183,11314,723,2412,2400,6716,5762,2207,40.3368902439,41.7,39.7,11328,2872,5297,14424,1954,585,1291,1243,2185,4524,113,60,94,3319,5916,545,200,129,12916,549,136,4326,638,416,647,925,4808,1145,498,8646,1620,1000,563,155,161,10934,4721,6213,64,67.7,61.5,10567,8654,1177,687,49,8930,1173,3736,2596,1425,3224,1883,1537,465,182,126,2690,460,3016,521,1084,1327,937,879,2754,21500,40000,8000,520,485,1084,1327,937,879,2754,33000,40000,30000,2665,1828,1856,865,527,62,87,2677,-,387,242,1645,379,170,270,1403,1516,1795,2731,29,5517,732,1156,1103,1191,877,458,3.3,979,2534,290,108,226,355,732,293,301,162,263,546,429,504,3312,74230,37,59,145,500,410,463,3168,81580,-,-,5489,608,2,-,-,5488,27,2,-,-,18728,767,2,13,289,751,1474,1497,1491,2,1791,2217,1201,-,182,126,131,71,67,97,175,343,907,22000,21.9,61,71,41,1154,23600,24.6,1719,600,451,169,3263,10283,2087
A,11,A06,1106,Central and Western,Kennedy Town and Mount Davis,Central and Western - Kennedy Town and Mount Davis,中西區,堅摩,中西區 - 堅摩,16577,7815,8762,892,2052,1626,6235,4492,2172,39.798245614,40.2,39.3,10073,4044,2460,14294,597,436,679,571,2312,4094,137,201,36,2189,4469,657,388,42,12372,521,610,1891,290,854,1731,1707,3978,912,617,4726,1553,603,92,50,8,9894,4980,4914,68.1,73.5,63.4,9553,8178,558,672,145,7024,839,2352,2076,1757,3262,2686,1319,698,83,375,1034,96,1605,1244,2473,1404,796,694,1192,15810,20000,12000,680,1227,2473,1404,796,694,1192,18000,20000,17000,1811,1222,2039,1207,1087,269,225,1693,-,197,300,1657,671,386,398,1410,1691,1581,1215,47,6106,1549,1670,1215,1036,475,161,2.6,1121,2039,487,60,188,448,1549,214,341,371,1007,1034,696,911,1746,34040,119,300,865,943,682,911,1660,38750,614,-,5505,4,7,614,-,5485,-,7,2041,-,14491,38,7,259,955,2644,1398,614,236,-,1510,1412,2803,55,245,81,191,141,124,172,155,521,206,10000,20.7,698,310,884,1047,7820,21.9,739,366,507,141,2714,9417,1832
A,11,A07,1107,Central and Western,Kwun Lung,Central and Western - Kwun Lung,中西區,觀龍,中西區 - 觀龍,14202,6599,7603,868,1226,1651,4509,4179,2637,43.9824561404,43.7,44.2,8058,5208,936,13422,206,233,72,269,2319,3329,110,240,-,2264,3493,944,269,8,12381,428,455,383,148,879,2146,2330,3642,512,374,3093,1328,466,246,128,32,7436,3942,3494,57.3,65.7,50.1,7210,6714,189,290,17,6992,1029,2179,2612,1172,2350,2086,1084,554,59,389,457,231,1175,1581,2743,889,330,296,179,11210,12800,10000,792,1581,2743,889,330,296,179,12000,12800,10500,617,596,1450,1470,1176,321,304,1275,1,335,281,1642,413,670,283,601,1052,1141,769,23,5418,1506,1451,1146,949,276,90,2.5,859,1686,640,70,116,441,1506,100,811,569,1290,1246,597,464,441,20000,160,400,1047,1140,578,435,436,23780,1547,-,3805,306,-,1547,-,3805,66,-,4199,-,9450,553,-,846,1226,2428,730,175,7,6,664,1912,2617,-,45,180,144,85,140,168,55,55,17,6000,21.7,1105,795,636,261,2820,17.8,1108,343,481,62,2975,7492,1352
A,11,A08,1108,Central and Western,Sai Wan,Central and Western - Sai Wan,中西區,西環,中西區 - 西環,14943,7111,7832,908,1576,1570,4839,4757,2201,42.8886010363,42.5,43.1,9140,4811,992,14089,329,318,75,132,2131,3934,106,62,40,1927,4212,616,291,48,12799,362,667,349,214,686,1799,2264,4142,772,741,2963,1608,447,230,135,30,8157,4357,3800,61,69.5,53.6,7913,6940,398,525,50,7030,1085,2297,2489,1159,2862,1949,1044,595,174,589,590,110,1256,1400,2548,1447,599,331,282,13000,15000,10000,738,1387,2548,1447,599,331,282,14000,15000,12500,922,650,1728,1145,1327,317,319,1482,23,218,368,1784,625,707,268,744,1337,1069,749,44,5381,1038,1554,1302,995,376,116,2.7,889,2161,458,58,241,319,1038,217,719,421,1100,938,808,896,499,24000,101,231,989,903,793,852,476,29000,-,-,5408,25,-,-,-,5356,25,-,-,-,14864,79,-,120,798,2988,1192,254,21,8,1230,2715,1152,24,228,32,145,110,297,262,237,164,15,6500,18.7,52,267,585,304,7500,25.7,327,199,176,73,2627,10181,820
A,11,A09,1109,Central and Western,Belcher,Central and Western - Belcher,中西區,寶翠,中西區 - 寶翠,21650,9639,12011,803,3031,2271,7377,6224,2747,40.2643171806,40.8,39.8,12498,6127,3025,18799,893,809,266,883,2474,5300,152,125,47,3115,6119,924,321,42,16328,863,835,1830,613,818,1973,2299,5406,1446,1225,5452,2047,1137,368,105,20,11678,5561,6117,62.7,68.7,58.1,11417,9698,1037,582,100,10233,1607,3779,2901,1946,3936,2644,1482,646,221,401,1727,360,2394,1345,3001,1253,1047,825,1452,15000,20000,11000,771,1336,3001,1253,1047,825,1452,18000,20000,16200,2221,1100,2586,1431,981,369,311,2418,-,225,444,2448,526,652,401,1658,1714,1441,1874,34,6981,1148,1742,1558,1486,768,279,3,1214,3126,607,45,156,492,1148,193,648,285,1134,770,956,1037,2151,36040,105,162,942,699,897,953,2040,40000,-,-,7012,33,7,-,-,6963,11,7,-,-,21421,210,19,114,603,3014,1731,926,593,-,1966,3154,1544,39,195,83,118,95,199,315,115,416,708,12130,20.5,89,172,544,861,10000,25.5,748,393,530,18,3182,13661,2001
A,11,A10,1110,Central and Western,Shek Tong Tsui,Central and Western - Shek Tong Tsui,中西區,石塘咀,中西區 - 石塘咀,17170,8242,8928,923,1938,2035,5454,4929,2814,41.65,40.9,42.3,8735,7330,1105,16271,477,269,22,131,2476,4365,189,121,58,2404,4404,979,192,44,13676,577,1517,405,350,996,1974,2783,5462,713,685,2619,1799,623,290,80,-,9465,4970,4495,62.1,68.9,56,9076,8190,321,544,21,8094,1037,2733,2983,1341,3572,2338,1114,508,141,633,520,250,1352,2556,3162,1151,447,248,139,10000,12000,9500,937,2556,3162,1151,447,248,139,11000,12000,10000,652,538,1939,1629,1976,636,332,1374,-,243,437,2186,651,1232,327,876,1398,934,742,50,6054,1314,1506,1465,1149,461,159,2.8,927,2254,598,66,216,584,1314,95,843,455,1602,1291,877,607,379,20000,71,378,1448,1208,836,606,379,23000,-,-,6103,2,1,-,-,6051,2,1,-,-,17161,8,1,258,914,3086,1479,284,32,1,1175,3118,1547,83,107,24,164,272,217,296,116,110,-,6000,21.2,87,501,825,241,6930,25.8,321,389,292,126,2495,11517,1408
