"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4"
D01,香港仔,ABERDEEN,D0101,香港仔體育館,Aberdeen Sports Centre,1598,621,1936,226
D03,鴨脷洲北,AP LEI CHAU NORTH,D0301,鴨脷洲體育館,Ap Lei Chau Sports Centre,755,1556,--,--
D04,利東一,LEI TUNG I,D0401,聖伯多祿天主教小學,St. Peter's Catholic Primary School,177,1810,3068,--
D05,利東二,LEI TUNG II,D0501,利東社區會堂,Lei Tung Community Hall,2564,119,1854,21
D06,海怡東,SOUTH HORIZONS EAST,D0601,海怡寶血小學,Precious Blood Primary School (South Horizons),1845,2180,643,--
D07,海怡西,SOUTH HORIZONS WEST,D0701,海怡社區中心,South Horizons Neighbourhood Community Centre,2245,2945,--,--
D08,華貴,WAH KWAI,D0801,華貴社區會堂,Wah Kwai Community Hall,94,2652,2699,--
D09,華富南,WAH FU SOUTH,D0901,明愛莊月明中學,Caritas Chong Yuet Ming Secondary School,1632,1629,--,--
D10,華富北,WAH FU NORTH,D1001,東華三院鶴山學校,TWGHs Hok Shan School,2089,21,2408,29
D11,薄扶林,POKFULAM,D1101,沙宣道會堂,Sassoon Road Assembly Hall,190,540,--,--
D11,薄扶林,POKFULAM,D1102,上碧瑤灣遊樂場,Playground of Upper Baguio Villa,474,801,--,--
D11,薄扶林,POKFULAM,D1103,數碼港郵政局,Cyberport Post Office,480,611,--,--
D12,置富,CHI FU,D1201,展亮技能發展中心 (薄扶林),Shine Skills Centre (Pokfulam),188,76,--,--
D12,置富,CHI FU,D1202,置富南區會堂,Chi Fu Community Hall,2574,2147,--,--
D15,黃竹坑,WONG CHUK HANG,D1501,香港仔網球及壁球中心,Aberdeen Tennis and Squash Centre,689,623,--,--
D15,黃竹坑,WONG CHUK HANG,D1502,南區長者地區中心,Southern District Elderly Community Centre,1501,2022,--,--
D16,海灣,BAYS AREA,D1601,南島中學,South Island School,186,447,--,--
D16,海灣,BAYS AREA,D1602,香港國際學校,Hong Kong International School,288,510,--,--
D17,赤柱及石澳,STANLEY & SHEK O,D1701,赤柱社區會堂,Stanley Community Hall,311,695,1431,--
D17,赤柱及石澳,STANLEY & SHEK O,D1702,石澳健康院,Medical Clinic of Shek O Health Centre,97,57,401,--
