"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3"
E01,尖沙咀西,TSIM SHA TSUI WEST,E0101,仁愛堂陳鄭玉而幼稚園,Yan Oi Tong Chan Cheng Yuk Yee Kindergarten,828,1213,--
E02,佐敦南,JORDAN SOUTH,E0201,九龍公園體育館,Kowloon Park Sports Centre,1531,524,--
E04,油麻地南,YAU MA TEI SOUTH,E0401,梁顯利油麻地社區中心,Henry G. Leong Yaumatei Community Centre,1298,2124,--
E05,富榮,CHARMING,E0501,油蔴地天主教小學(海泓道),Yaumati Catholic Primary School (Hoi Wang Road),2053,2473,--
E07,富柏,FU PAK,E0701,保良局陳守仁小學,PLK Camões Tan Siu Lin Primary School,2859,1924,--
E08,奧運,OLYMPIC,E0801,香港保護兒童會中銀幼兒學校,Hong Kong Society for the Protection of Children BOC Nursery School,1414,1531,--
E09,櫻桃,CHERRY,E0901,路德會沙崙學校,Sharon Lutheran School,858,1611,172
E10,大角咀南,TAI KOK TSUI SOUTH,E1001,大角嘴天主教小學,Tai Kok Tsui Catholic Primary School,1362,1608,--
E11,大角咀北,TAI KOK TSUI NORTH,E1101,中華基督教會基全小學,CCC Kei Tsun Primary School,1363,2633,--
E12,大南,TAI NAN,E1201,鮮魚行學校,Fresh Fish Traders' School,606,962,1424
E13,旺角北,MONG KOK NORTH,E1301,聖公會基榮小學,SKH Kei Wing Primary School,1712,869,--
E14,旺角東,MONG KOK EAST,E1401,界限街一號體育館,Boundary Street Sports Centre No. 1,112,1442,1172
E16,油麻地北,YAU MA TEI NORTH,E1601,東華三院羅裕積小學,TWGHs Lo Yu Chik Primary School,689,1682,--
E17,尖東及京士柏,EAST TSIM SHA TSUI & KING'S PARK,E1701,油蔴地街坊會學校,Yaumati Kaifong Association School,589,742,--
E17,尖東及京士柏,EAST TSIM SHA TSUI & KING'S PARK,E1702,香港理工大學紅磡灣校園,PolyU Hung Hom Bay Campus,92,110,--
E18,尖沙咀中,TSIM SHA TSUI CENTRAL,E1801,入境事務處西九龍辦事處,Immigration Department West Kowloon Office,486,1099,--
E19,佐敦北,JORDAN NORTH,E1901,佐敦道官立小學,Jordan Road Government Primary School,941,386,--
