"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3",,,
F01,寶麗,PO LAI,F0101,保安道體育館,Po On Road Sports Centre,1664,1929,--,,,
F02,長沙灣,CHEUNG SHA WAN,F0201,福榮街官立小學,Fuk Wing Street Government Primary School,1491,246,1307,,,
F03,南昌北,NAM CHEONG NORTH,F0301,英華女學校,Ying Wa Girls' School,1461,796,--,,,
F04,石硤尾,SHEK KIP MEI,F0401,石硤尾社區會堂,Shek Kip Mei Community Hall,2847,2088,--,,,
F05,南昌東,NAM CHEONG EAST,F0501,基督教香港崇真會安康幼兒學校,Tsung Tsin Mission of Hong Kong On Hong Nursery School,1727,1287,--,,,
F06,南昌南,NAM CHEONG SOUTH,F0601,深水埔街坊福利事務促進會,Shamshuipo Kaifong Welfare Advancement Association,786,1544,--,,,
F07,南昌中,NAM CHEONG CENTRAL,F0701,北河街體育館,Pei Ho Street Sports Centre,1284,538,--,,,
F08,南昌西,NAM CHEONG WEST,F0801,南昌社區中心,Nam Cheong District Community Centre,1217,1873,--,,,
F09,富昌,FU CHEONG,F0901,英華書院,Ying Wa College,2130,2973,--,,,
F10,麗閣,LAI KOK,F1001,麗閣社區會堂,Lai Kok Community Hall,2531,215,2432,,,
F11,幸福,FORTUNE,F1101,聖公會基福小學,SKH Kei Fook Primary School,1597,1590,--,,,
F11,幸福,FORTUNE,F1102,深水埗官立小學,Sham Shui Po Government Primary School,301,547,--,,,
F12,荔枝角南,LAI CHI KOK SOUTH,F1201,聖公會聖馬利亞堂莫慶堯中學,SKH St. Mary's Church Mok Hing Yiu College,3477,1191,94,,,
F13,美孚南,MEI FOO SOUTH,F1301,美孚新邨孚佑堂,Mei Foo Sun Chuen Community Centre,179,2193,2421,,,
F14,美孚中,MEI FOO CENTRAL,F1401,博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心,POH Mei Foo Lai Wan Kaifong Association Mr. and Mrs. Leung Chi Chim Elderly Health Support and Learning Centre,1803,1675,241,,,
F15,美孚北,MEI FOO NORTH,F1501,荔枝角公園體育館,Lai Chi Kok Park Sports Centre,2636,1816,--,,,
F16,荔枝角中,LAI CHI KOK CENTRAL,F1601,荔枝角社區會堂,Lai Chi Kok Community Hall,2229,2353,--,,,
F17,荔枝角北,LAI CHI KOK NORTH,F1701,五邑工商總會學校,Five Districts Business Welfare Association School,1173,64,877,,,
F18,元州及蘇屋,UN CHAU & SO UK,F1801,長沙灣體育館,Cheung Sha Wan Sports Centre,3491,1160,--,,,
F19,李鄭屋,LEI CHENG UK,F1901,長沙灣社區中心,Cheung Sha Wan Community Centre,2335,2124,--,,,
F20,下白田,HA PAK TIN,F2001,白田社區會堂,Pak Tin Community Hall,2320,1152,--,,,
F21,又一村,YAU YAT TSUEN,F2101,聖母玫瑰書院,Our Lady of The Rosary College,982,2277,--,,,
F22,南山、大坑東及大坑西,"NAM SHAN, TAI HANG TUNG & TAI HANG SAI",F2201,大坑東社區中心,Tai Hang Tung Community Centre,1991,2563,54,,,
F23,龍坪及上白田,LUNG PING & SHEUNG PAK TIN,F2301,白田天主教小學,Pak Tin Catholic Primary School,40,1015,905,,,
F23,龍坪及上白田,LUNG PING & SHEUNG PAK TIN,F2302,香港城市大學澤安中心,"Chak On Centre, City University of Hong Kong",121,663,1549,,,
