"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4"
H01,龍趣,LUNG TSUI,H0101,黃大仙社區中心,Wong Tai Sin Community Centre,241,715,2191,--
H02,龍下,LUNG HA,H0201,黃大仙官立小學,Wong Tai Sin Government Primary School,1446,2552,--,--
H03,龍上,LUNG SHEUNG,H0301,龍翔官立中學,Lung Cheung Government Secondary School,2798,1478,204,--
H04,鳳凰,FUNG WONG,H0401,嗇色園西醫診所,Sik Sik Yuen Clinic,1422,1675,--,--
H05,鳳德,FUNG TAK,H0501,鳳德社區中心,Fung Tak Estate Community Centre,2766,2168,--,--
H06,龍星,LUNG SING,H0601,香港小童群益會賽馬會慈雲山青少年綜合服務中心,The Boys' & Girls' Clubs Association of Hong Kong Jockey Club  Tsz Wan Shan Children & Youth Integrated Services Centre,221,92,2071,1635
H06,龍星,LUNG SING,H0602,真鐸學校,Chun Tok School,76,19,569,1339
H07,新蒲崗,SAN PO KONG,H0701,保良局何壽南小學,PLK Stanley Ho Sau Nan Primary School,1405,414,--,--
H07,新蒲崗,SAN PO KONG,H0702,嘉諾撒小學 (新蒲崗),Canossa Primary School (San Po Kong),1621,870,--,--
H08,東頭,TUNG TAU,H0801,東頭社區中心,Tung Tau Community Centre,1448,2710,--,--
H09,東美,TUNG MEI,H0901,聖公會基德小學,SKH Kei Tak Primary School,2894,1597,--,--
H10,樂富,LOK FU,H1001,摩士公園體育館,Morse Park Sports Centre,981,2232,--,--
H12,天強,TIN KEUNG,H1201,天主教博智小學,Price Memorial Catholic Primary School,1417,1684,--,--
H12,天強,TIN KEUNG,H1202,潔心林炳炎中學,Kit Sam Lam Bing Yim Secondary School,790,1088,--,--
H13,翠竹及鵬程,TSUI CHUK & PANG CHING,H1301,嗇色園主辦可德幼稚園,Ho Tak Kindergarten (Sponsored by Sik Sik Yuen),802,880,313,--
H13,翠竹及鵬程,TSUI CHUK & PANG CHING,H1302,翠竹商場5樓,"Level 5, Tsui Chuk Commercial Complex",1076,2087,502,--
H14,竹園南,CHUK YUEN SOUTH,H1401,竹園社區中心,Chuk Yuen Estate Community Centre,1610,561,--,--
H14,竹園南,CHUK YUEN SOUTH,H1402,浸信會天虹小學,Baptist Rainbow Primary School,1446,546,--,--
H15,竹園北,CHUK YUEN NORTH,H1501,竹園體育館,Chuk Yuen Sports Centre,1206,2799,--,--
H16,慈雲西,TSZ WAN WEST,H1601,嗇色園主辦可立小學,Ho Lap Primary School (Sponsored by Sik Sik Yuen),362,2405,3285,--
H17,正愛,CHING OI,H1701,肖霞幼稚園,Chiu Ha Kindergarten,3243,2048,--,--
H19,慈雲東,TSZ WAN EAST,H1901,德愛中學,Tak Oi Secondary School,3192,1585,--,--
H20,瓊富,KING FU,H2001,嗇色園主辦可富耆英鄰舍中心,Ho Fu Neighbourhood Centre for Senior Citizens (Sponsored by Sik Sik Yuen),1480,2593,--,--
H20,瓊富,KING FU,H2002,香港遊樂場協會賽馬會瓊富青少年綜合服務中心,Hong Kong Playground Association Jockey Club King Fu Integrated Service Centre For Children & Youth,897,1314,--,--
H21,彩雲東,CHOI WAN EAST,H2101,保良局陳麗玲(百周年)學校,PLK Anita L. L. Chan (Centenary) School,1551,129,2201,--
H22,彩雲南,CHOI WAN SOUTH,H2201,香港幼稚園協會幼兒學校,Hong Kong Kindergarten Association Pre-School,2432,1321,--,--
H23,彩雲西,CHOI WAN WEST,H2301,彩雲社區中心,Choi Wan Estate Community Centre,1810,2682,--,--
H24,池彩,CHI CHOI,H2401,佛教孔仙洲紀念中學,Buddhist Hung Sean Chau Memorial College,1469,1120,--,--
H24,池彩,CHI CHOI,H2402,中華基督教會基華小學,CCC Kei Wa Primary School,614,958,--,--
H25,彩虹,CHOI HUNG,H2501,聖公會聖本德中學,SKH St. Benedict's School,1639,2898,--,--
