"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4"
J03,啓業,KAI YIP,J0301,啟業社區會堂,Kai Yip Community Hall,1826,2128,--,--
J04,麗晶,LAI CHING,J0401,仁濟醫院羅陳楚思中學,Yan Chai Hospital Law Chan Chor Si College,2682,3060,--,--
J07,佐敦谷,JORDAN VALLEY,J0701,香港基督教服務處樂暉長者地區中心,Hong Kong Christian Service Bliss District Elderly Community Centre,600,1621,--,--
J07,佐敦谷,JORDAN VALLEY,J0702,天主教彩霞邨潔心幼稚園,Choi Ha Estate Kit Sam Kindergarten,800,1017,--,--
J08,順天,SHUN TIN,J0801,寧波第二中學,Ning Po No. 2 College,2864,2764,--,--
J10,安利,ON LEE,J1001,迦密梁省德學校,Carmel Leung Sing Tak School,2128,1665,92,--
J11,寶達,PO TAT,J1101,秀茂坪天主教小學,Sau Mau Ping Catholic Primary School,1042,3993,--,--
J13,曉麗,HIU LAI,J1301,路德會陳蒙恩幼稚園,Chan Mung Yan Lutheran Kindergarten,1288,1907,--,--
J13,曉麗,HIU LAI,J1302,宣道會秀茂坪陳李詠貞幼稚園,CASMP Chen Lee Wing Tsing Kindergarten,996,1559,--,--
J14,秀茂坪南,SAU MAU PING SOUTH,J1401,觀塘官立小學(秀明道),Kwun Tong Government Primary School (Sau Ming Road),1831,386,205,--
J14,秀茂坪南,SAU MAU PING SOUTH,J1402,中華傳道會基石堂 ,CNEC Kei Shek Church,587,282,135,--
J16,興田,HING TIN,J1601,聖愛德華天主教小學,St. Edward's Catholic Primary School,2424,2125,--,--
J17,藍田,LAM TIN,J1701,藍田聖保祿中學,St. Paul's School (Lam Tin),1075,323,--,--
J17,藍田,LAM TIN,J1702,飛雁幼稚園,Fei Ngan Kindergarten,2140,962,--,--
J19,平田,PING TIN,J1901,聖公會李兆強小學,SKH Lee Shiu Keung Primary School,3404,988,--,--
J20,栢雅,PAK NGA,J2001,聖公會慈光堂聖匠幼稚園,SKH Kindly Light Church Holy Carpenter Kindergarten,138,2666,1528,--
J22,油麗,YAU LAI,J2201,聖公會油塘基顯小學,SKH Yautong Kei Hin Primary School,318,1914,1264,--
J23,翠翔,CHUI CHEUNG,J2301,香港中國婦女會李樹培夫人啟知中心,Hong Kong Chinese Women's Club Dr. Ellen Li Learning Centre,2918,2654,--,--
J25,麗港城,LAGUNA CITY,J2501,茜草灣鄰里社區中心,Sai Tso Wan Neighbourhood Community Centre,4091,3243,--,--
J26,景田,KING TIN,J2601,藍田 (西區) 社區中心,Lam Tin (West) Estate Community Centre,2791,2170,--,--
J27,翠屏,TSUI PING,J2701,天主教佑華小學,Our Lady of China Catholic Primary School,3457,1134,--,--
J28,寶樂,PO LOK,J2801,觀塘瑪利諾書院,Kwun Tong Maryknoll College,2097,1717,--,--
J29,月華,YUET WAH,J2901,地利亞修女紀念學校 (月華),Delia Memorial School (Yuet Wah),2403,1098,--,--
J30,協康,HIP HONG,J3001,瑞和街體育館,Shui Wo Street Sports Centre,42,1145,522,--
J30,協康,HIP HONG,J3002,曉光街體育館,Hiu Kwong Street Sports Centre,592,686,385,--
J31,康樂,HONG LOK,J3101,觀塘功樂官立中學,Kwun Tong Kung Lok Government Secondary School,1624,1525,--,--
J32,定安,TING ON,J3201,聖公會基顯小學,SKH Kei Hin Primary School,2159,2097,--,--
J33,牛頭角上邨,UPPER NGAU TAU KOK ESTATE,J3301,循道衛理觀塘社會服務處牛頭角青少年綜合服務中心,Kwun Tong Methodist Social Service Ngau Tau Kok Youth Integrated Service Centre,2453,1531,--,--
J34,牛頭角下邨,LOWER NGAU TAU KOK ESTATE,J3401,振華道體育館,Chun Wah Road Sports Centre,562,496,--,--
J34,牛頭角下邨,LOWER NGAU TAU KOK ESTATE,J3402,保良局顧卞裘莉長者日間護理中心,PLK Koo Bin Kau Lee Day Care Centre for the Elderly,1417,1945,--,--
J36,樂華北,LOK WAH NORTH,J3601,聖公會基樂小學,SKH Kei Lok Primary School,1729,1246,--,--
J37,樂華南,LOK WAH SOUTH,J3701,樂華社區中心,Lok Wah Estate Community Centre,1687,2245,--,--
