"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4"
K02,楊屋道,YEUNG UK ROAD,K0201,荃灣天主教小學,Tsuen Wan Catholic Primary School,2075,1233,--,--
K03,海濱,HOI BUN,K0301,天主教石鐘山紀念小學,Shak Chung Shan Memorial Catholic Primary School,1926,2647,--,--
K04,祈德尊,CLAGUE GARDEN,K0401,寶安商會王少清中學,POCA Wong Siu Ching Secondary School,1825,1550,--,--
K06,愉景,DISCOVERY PARK,K0601,荃景圍體育館,Tsuen King Circuit Sports Centre,3674,2020,--,--
K07,荃灣中心,TSUEN WAN CENTRE,K0701,柴灣角天主教小學,Chai Wan Kok Catholic Primary School,2235,2074,--,--
K08,荃威,ALLWAY,K0801,中華基督教會基慧小學,CCC Kei Wai Primary School,1540,2298,--,--
K08,荃威,ALLWAY,K0802,川龍村公所,Chuen Lung Village Office,237,522,--,--
K09,麗濤,LAI TO,K0901,荃灣官立小學,Tsuen Wan Government Primary School,3661,1441,--,--
K10,汀深,TING SHAM,K1001,深井天主教小學,Sham Tseng Catholic Primary School,1606,1799,454,--
K11,荃灣西,TSUEN WAN WEST,K1101,香港浸信會聯會小學,Hong Kong Baptist Convention Primary School,762,2144,1364,--
K11,荃灣西,TSUEN WAN WEST,K1102,荃灣聖芳濟中學,"St. Francis Xavier's School, Tsuen Wan",31,318,136,--
K12,荃灣郊區,TSUEN WAN RURAL,K1201,圓玄學院荃灣西長者鄰舍中心,The Yuen Yuen Institute Tsuen Wan West Elderly Neighbourhood Centre,895,944,--,--
K12,荃灣郊區,TSUEN WAN RURAL,K1202,澳仙納幼稚園舊址,Former Site of Oceanic Kindergarten,324,370,--,--
K12,荃灣郊區,TSUEN WAN RURAL,K1203,豪景花園遊樂會,Hongkong Garden Club Ltd.,593,670,--,--
K13,馬灣,MA WAN,K1301,中華基督教會基慧小學 (馬灣),CCC Kei Wai Primary School (Ma Wan),529,193,1668,1056
K14,綠楊,LUK YEUNG,K1401,蕙荃體育館,Wai Tsuen Sports Centre,1933,2193,--,--
K15,梨木樹東,LEI MUK SHUE EAST,K1501,梨木樹社區會堂,Lei Muk Shue Community Hall,2654,1387,--,--
K15,梨木樹東,LEI MUK SHUE EAST,K1502,河背村村公所,Ho Pui Tsuen Village Office,515,386,--,--
K16,梨木樹西,LEI MUK SHUE WEST,K1601,梨木樹天主教小學,Lei Muk Shue Catholic Primary School,1385,2895,--,--
K17,石圍角,SHEK WAI KOK,K1701,香港道教聯合會圓玄學院石圍角小學,HKTA YYI Shek Wai Kok Primary School,2356,1035,--,--
K18,象石,CHEUNG SHEK,K1801,荃灣信義學校,Tsuen Wan Lutheran School,486,1057,188,--
K18,象石,CHEUNG SHEK,K1802,荃灣公立何傳耀紀念中學,Tsuen Wan Public Ho Chuen Yiu Memorial College,378,940,165,--
