"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4","候選人編號 5 
Candidate Number 5","候選人編號 6 
Candidate Number 6"
M01,豐年,FUNG NIN,M0101,元朗商會小學,Yuen Long Merchants Association Primary School,2179,1227,--,--,--,--
M03,南屏,NAM PING,M0301,朗屏社區會堂,Long Ping Community Hall,2598,1249,246,--,--,--
M04,北朗,PEK LONG,M0401,元朗朗屏邨東莞學校,Yuen Long Long Ping Estate Tung Koon Primary School,1653,2313,--,--,--,--
M04,北朗,PEK LONG,M0402,金巴崙長老會耀道中學,Cumberland Presbyterian Church Yao Dao Secondary School,360,577,--,--,--,--
M05,元朗中心,YUEN LONG CENTRE,M0501,元朗郵政局,Yuen Long Post Office,683,1137,--,--,--,--
M05,元朗中心,YUEN LONG CENTRE,M0502,鳳琴街體育館,Fung Kam Street Sports Centre,366,478,--,--,--,--
M06,元龍,YUEN LUNG,M0601,中華基督教會基元中學,CCC Kei Yuen College,2651,362,--,--,--,--
M07,鳳翔,FUNG CHEUNG,M0701,佛教榮茵學校,Buddhist Wing Yan School,2173,1425,163,--,--,--
M13,屏山北,PING SHAN NORTH,M1301,橫洲村公所,Wang Chau Village Office,614,1047,--,--,--,--
M13,屏山北,PING SHAN NORTH,M1302,前沙江公立聯益學校,Former Sha Kong Public Luen Yick School,324,297,--,--,--,--
M14,廈村,HA TSUEN,M1401,基督教香港信義會榮真堂,ELCHK Wing Jan Lutheran Church,29,388,--,--,--,--
M14,廈村,HA TSUEN,M1402,錫降圍村公所,Sik Kong Wai Village Office,125,1248,--,--,--,--
M14,廈村,HA TSUEN,M1403,鄰舍輔導會屯門/元朗鄉郊中心,The Neighbourhood Advice-Action Council Tuen Mun / Yuen Long Rural Village Centre,222,974,--,--,--,--
M15,天盛,TIN SHING,M1501,伊利沙伯中學舊生會小學分校,Queen Elizabeth School Old Students' Association Branch Primary School,2689,1217,--,--,--,--
M15,天盛,TIN SHING,M1502,天主教培聖中學,Pui Shing Catholic Secondary School,1013,590,--,--,--,--
M16,瑞愛,SHUI OI,M1601,天瑞社區中心,Tin Shui Community Centre,1434,3136,--,--,--,--
M17,瑞華,SHUI WAH,M1701,東華三院姚達之紀念小學(元朗),TWGHs Yiu Dak Chi Memorial Primary School (Yuen Long),1634,1941,--,--,--,--
M18,頌華,CHUNG WAH,M1801,賽馬會毅智書院,The Jockey Club Eduyoung College,901,642,--,--,--,--
M18,頌華,CHUNG WAH,M1802,東華三院李東海小學,TWGHs Leo Tung-hai Lee Primary School,874,323,--,--,--,--
M20,富恩,FU YAN,M2001,香港普通話研習社科技創意小學,Xianggang Putonghua Yanxishe Primary School of Science and Creativity,1339,2819,--,--,--,--
M21,逸澤,YAT CHAK,M2101,宣道會葉紹蔭紀念小學,Christian Alliance S Y Yeh Memorial Primary School,2288,496,1468,--,--,--
M22,天恒,TIN HENG,M2201,順德聯誼總會伍冕端小學,STFA Wu Mien Tuen Primary School,1317,846,2749,--,--,--
M24,晴景,CHING KING,M2401,天晴社區會堂,Tin Ching Community Hall,2423,632,--,--,--,--
M25,嘉湖北,KINGSWOOD NORTH,M2501,香港管理專業協會羅桂祥中學,The Hong Kong Management Association K S Lo College,2775,1747,--,--,--,--
M26,慈祐,TSZ YAU,M2601,道慈佛社楊日霖紀念學校,BTCFS Yeung Yat Lam Memorial School,2438,1345,--,--,--,--
M27,耀祐,YIU YAU,M2701,天水圍官立中學,Tin Shui Wai Government Secondary School,1584,1255,--,--,--,--
M28,天耀,TIN YIU,M2801,天耀社區中心,Tin Yiu Community Centre,1713,1552,--,--,--,--
M29,嘉湖南,KINGSWOOD SOUTH,M2901,職業訓練局青年學院(天水圍),"Vocational Training Council,Youth College (Tin Shui Wai)",1341,1618,--,--,--,--
M29,嘉湖南,KINGSWOOD SOUTH,M2902,天水圍官立小學,Tin Shui Wai Government Primary School,383,573,--,--,--,--
M30,頌栢,CHUNG PAK,M3001,香港青年協會李兆基小學,HKFYG Lee Shau Kee Primary School,2078,1380,--,--,--,--
M31,錦綉花園,FAIRVIEW PARK,M3101,港澳信義會黃陳淑英紀念學校,HKMLC Wong Chan Sook Ying Memorial School,1826,144,1596,--,--,--
M32,新田,SAN TIN,M3201,惇裕學校,Tun Yu School,944,487,--,--,--,--
M32,新田,SAN TIN,M3202,位於下竹園路與錦壆路交界對出空地的臨時辦公室,Temporary Office at the Open Space in front of the intersection of Ha Chuk Yuen Road and Kam Pok Road,1342,706,--,--,--,--
M34,八鄉北,PAT HEUNG NORTH,M3401,台山公立學校 (舊址),Toi Shan Public School (Former),1471,1806,--,--,--,--
M35,八鄉南,PAT HEUNG SOUTH,M3501,八鄉中心小學 (石湖塘),Pat Heung Central Primary School (Shek Wu Tong),1482,2872,--,--,--,--
