"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4","候選人編號 5 
Candidate Number 5","候選人編號 6 
Candidate Number 6"
N01,聯和墟,LUEN WO HUI,N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School,1981,2640,413,--,--,--
N02,粉嶺市,FANLING TOWN,N0201,粉嶺公立學校,Fanling Public School,262,892,--,--,--,--
N02,粉嶺市,FANLING TOWN,N0202,明愛粉嶺陳震夏中學,Caritas Fanling Chan Chun Ha Secondary School,564,511,--,--,--,--
N03,祥華,CHEUNG WAH,N0301,祥華社區會堂,Cheung Wah Community Hall,1569,1814,1710,178,--,--
N05,華明,WAH MING,N0501,鳳溪廖潤琛紀念學校,Fung Kai Liu Yun Sum Memorial School,1814,2660,--,--,--,--
N08,粉嶺南,FANLING SOUTH,N0801,粉嶺官立中學,Fanling Government Secondary School,1222,570,--,--,--,--
N08,粉嶺南,FANLING SOUTH,N0802,田家炳中學,Tin Ka Ping Secondary School,602,422,--,--,--,--
N10,御太,YU TAI,N1001,風采中學 (教育評議會主辦),Elegantia College (Sponsored by Education Convergence),1922,326,672,--,--,--
N11,上水鄉郊,SHEUNG SHUI RURAL,N1101,金錢村何東學校,Kam Tsin Village Ho Tung School,306,1126,--,--,--,--
N11,上水鄉郊,SHEUNG SHUI RURAL,N1102,蕉徑村公所,Tsiu Keng Village Office,714,395,--,--,--,--
N11,上水鄉郊,SHEUNG SHUI RURAL,N1103,古洞公立愛華學校,Ku Tung Public Oi Wah School,773,950,--,--,--,--
N11,上水鄉郊,SHEUNG SHUI RURAL,N1104,坑頭村公所,Hang Tau Village Office,681,463,--,--,--,--
N12,彩園,CHOI YUEN,N1201,彩園會堂,Choi Yuen Estate Hall,2481,1975,--,--,--,--
N13,石湖墟,SHEK WU HUI,N1301,龍琛路體育館,Lung Sum Avenue Sports Centre,14,213,273,--,--,--
N13,石湖墟,SHEK WU HUI,N1302,聖公會陳融中學,SKH Chan Young Secondary School,44,1066,1424,--,--,--
N13,石湖墟,SHEK WU HUI,N1303,香海正覺蓮社佛教陳式宏學校,HHCKLA Buddhist Chan Shi Wan Primary School,32,481,693,--,--,--
N14,天平西,TIN PING WEST,N1401,石湖墟公立學校,Shek Wu Hui Public School,1445,2219,797,--,--,--
N15,鳳翠,FUNG TSUI,N1501,鳳溪廖萬石堂中學,Fung Kai Liu Man Shek Tong Secondary School,981,1460,1649,--,--,--
N16,沙打,SHA TA,N1601,打鼓嶺嶺英公立學校,Ta Ku Ling Ling Ying Public School,186,171,139,5,--,--
N16,沙打,SHA TA,N1602,International College Hong Kong,International College Hong Kong,462,402,78,23,--,--
N16,沙打,SHA TA,N1604,沙頭角中心小學,Sha Tau Kok Central Primary School,1471,395,133,74,--,--
N16,沙打,SHA TA,N1606,打鼓嶺社區會堂,Ta Kwu Ling Community Hall,188,136,301,9,--,--
N17,天平東,TIN PING EAST,N1701,天平體育館,Tin Ping Sports Centre,1139,1039,475,--,--,--
N17,天平東,TIN PING EAST,N1702,聯和墟社區會堂,Luen Wo Hui Community Hall,587,528,128,--,--,--
