"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4","候選人編號 5 
Candidate Number 5","候選人編號 6 
Candidate Number 6"
P01,大埔墟,TAI PO HUI,P0101,大埔社區中心 (展覽廳),Tai Po Community Centre (Exhibition Hall),1096,865,--,--,--,--
P02,大埔中,TAI PO CENTRAL,P0201,大埔官立中學,Tai Po Government Secondary School,1444,1866,384,--,--,--
P03,頌汀,CHUNG TING,P0301,新界婦孺福利會梁省德學校,NTW&JWAL Leung Sing Tak Primary School,803,643,--,--,--,--
P03,頌汀,CHUNG TING,P0302,香港紅卍字會大埔卍慈中學,HKRSS Tai Po Secondary School,1007,1238,--,--,--,--
P04,大元,TAI YUEN,P0401,大元社區會堂,Tai Yuen Community Hall,1334,2017,--,--,--,--
P05,富亨,FU HENG,P0501,富亨鄰里社區中心,Fu Heng Neighbourhood Community Centre,1417,3716,--,--,--,--
P06,怡富,YEE FU,P0601,富善社區會堂,Fu Shin Community Hall,1607,4148,--,--,--,--
P07,富明新,FU MING SUN,P0701,香港道教聯合會圓玄學院第二中學,HKTA The Yuen Yuen Institute No. 2 Secondary School,3147,1122,--,--,--,--
P08,廣福及寶湖,KWONG FUK & PLOVER COVE,P0801,廣福社區會堂,Kwong Fuk Community Hall,2004,281,612,--,--,--
P08,廣福及寶湖,KWONG FUK & PLOVER COVE,P0802,大埔崇德黃建常紀念學校,Sung Tak Wong Kin Sheung Memorial School,244,82,167,--,--,--
P09,宏福,WANG FUK,P0901,大埔浸信會公立學校,Tai Po Baptist Public School,2120,1570,--,--,--,--
P11,運頭塘,WAN TAU TONG,P1101,運頭塘鄰里社區中心,Wan Tau Tong Neighbourhood Community Centre,2123,2711,--,--,--,--
P12,新富,SAN FU,P1201,羅定邦中學,Law Ting Pong Secondary School,1742,1842,108,--,--,--
P12,新富,SAN FU,P1202,挪威國際學校,Norwegian International School,322,605,21,--,--,--
P13,林村谷,LAM TSUEN VALLEY,P1301,南華莆村崇真堂,Nam Wah Po Village Tsung Tsin Church,14,55,285,--,--,--
P13,林村谷,LAM TSUEN VALLEY,P1302,獅子會林村青年中心,Lions Club Lam Tsuen Youth Centre,197,1432,1033,--,--,--
P13,林村谷,LAM TSUEN VALLEY,P1303,大埔頭水圍村公所,Tai Po Tau Shui Wai Village Office,131,501,195,--,--,--
P13,林村谷,LAM TSUEN VALLEY,P1304,泰亨公立學校,Tai Hang Public School,32,480,231,--,--,--
P14,寶雅,PO NGA,P1401,神召會康樂中學,Assembly of God Hebron Secondary School,2683,2292,--,--,--,--
P16,舊墟及太湖,OLD MARKET & SERENITY,P1601,太和鄰里社區中心,Tai Wo Neighbourhood Community Centre,2170,1699,--,--,--,--
P17,康樂園,HONG LOK YUEN,P1701,大埔三育中學,Tai Po Sam Yuk Secondary School,321,703,--,--,--,--
P17,康樂園,HONG LOK YUEN,P1702,九龍坑公立育賢學校,Kau Lung Hang Public Yuk Yin School,278,520,--,--,--,--
P17,康樂園,HONG LOK YUEN,P1703,康樂園服務處會議室,Conference Room of Hong Lok Yuen Management Services Office,263,305,--,--,--,--
P17,康樂園,HONG LOK YUEN,P1704,孔教學院大成何郭佩珍中學,Confucian Tai Shing Ho Kwok Pui Chun College,270,252,--,--,--,--
P19,西貢北,SAI KUNG NORTH,P1901,香港浸信會神學院,Hong Kong Baptist Theological Seminary,932,985,--,--,--,--
P19,西貢北,SAI KUNG NORTH,P1903,塔門青年會,Tap Mun Youth Club,92,19,--,--,--,--
