"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4","候選人編號 5 
Candidate Number 5","候選人編號 6 
Candidate Number 6"
Q01,西貢市中心,SAI KUNG CENTRAL,Q0101,西貢賽馬會大會堂,The Sai Kung Jockey Club Town Hall,640,1151,--,--,--,--
Q01,西貢市中心,SAI KUNG CENTRAL,Q0102,萬宜漁村公共會堂,Man Yee Fishermen Village Community Hall,203,572,--,--,--,--
Q02,白沙灣,PAK SHA WAN,Q0201,前西貢中心小學,Ex-Sai Kung Central Primary School,1109,1539,--,--,--,--
Q04,坑口東,HANG HAU EAST,Q0401,港澳信義會小學,Hong Kong and Macau Lutheran Church Primary School,810,962,--,--,--,--
Q05,坑口西,HANG HAU WEST,Q0501,新界西貢坑口區鄭植之中學,"Cheng Chek Chee Secondary School of Sai Kung & Hang Hau District, N.T.",662,964,--,--,--,--
Q05,坑口西,HANG HAU WEST,Q0502,寶林體育館,Po Lam Sports Centre,365,433,--,--,--,--
Q06,寶怡,PO YEE,Q0601,播道書院,Evangel College,2361,1838,--,--,--,--
Q07,維景,WAI KING,Q0701,香港基督教女青年會將軍澳綜合社會服務處,HKYWCA Tseung Kwan O Integrated Social Service Centre,357,3014,--,--,--,--
Q08,都善,DO SHIN,Q0801,香港知專設計學院及香港專業教育學院(李惠利),Hong Kong Design Institute & Hong Kong Institute of Vocational Education (Lee Wai Lee),572,617,531,1216,--,--
Q09,健明,KIN MING,Q0901,香海正覺蓮社佛教正覺中學,HHCKLA Buddhist Ching Kok Secondary School,710,3719,--,--,--,--
Q10,彩健,CHOI KIN,Q1001,寶覺中學,Po Kok Secondary School,1791,2873,--,--,--,--
Q11,澳唐,O TONG,Q1101,博愛醫院八十週年鄧英喜中學,POH 80th Anniversary Tang Ying Hei College,1314,1831,1036,--,--,--
Q12,富君,FU KWAN,Q1201,仁濟醫院王華湘中學,YCH Wong Wha San Secondary School,2087,1671,43,--,--,--
Q13,軍寶,KWAN PO,Q1301,將軍澳運動場,Tseung Kwan O Sports Ground,534,480,583,487,784,--
Q14,南安,NAM ON,Q1401,保良局馮晴紀念小學,PLK Fung Ching Memorial Primary School,3359,985,--,--,--,--
Q15,康景,HONG KING,Q1501,翠林體育館,Tsui Lam Sports Centre,373,593,--,--,--,--
Q15,康景,HONG KING,Q1502,景嶺書院,King Ling College,899,768,--,--,--,--
Q15,康景,HONG KING,Q1503,基督教聖約教會司務道幼稚園暨幼兒園,Mission Covenant Church Sister Annie's Kindergarten and Nursery,1174,1913,--,--,--,--
Q16,翠林,TSUI LAM,Q1601,翠林社區會堂,Tsui Lam Community Hall,1396,3051,--,--,--,--
Q17,寶林,PO LAM,Q1701,迦密主恩中學,Carmel Divine Grace Foundation Secondary School,2446,779,913,--,--,--
Q18,欣英,YAN YING,Q1801,寶林邨文娛活動會堂,Po Lam Multipurpose Hall,1007,3283,1229,--,--,--
Q19,運亨,WAN HANG,Q1901,順德聯誼總會梁潔華小學,STFA Leung Kit Wah Primary School,1272,1752,73,--,--,--
Q19,運亨,WAN HANG,Q1902,東華三院王余家潔紀念小學,TWGHs Wong Yee Jar Jat Memorial Primary School,1041,1352,44,--,--,--
Q20,景林,KING LAM,Q2001,香海正覺蓮社佛教黃藻森學校,HHCKLA Buddhist Wong Cho Sum School,2878,2707,--,--,--,--
Q21,厚德,HAU TAK,Q2101,天主教鳴遠中學,Catholic Ming Yuen Secondary School,2679,2261,--,--,--,--
Q22,富藍,FU NAM,Q2201,坑口社區會堂,Hang Hau Community Hall,2113,2207,--,--,--,--
Q24,尚德,SHEUNG TAK,Q2401,尚德社區會堂,Sheung Tak Community Hall,650,2978,1662,--,--,--
Q25,廣明,KWONG MING,Q2501,香港道教聯合會圓玄學院第三中學,HKTA The Yuen Yuen Institute No.3 Secondary School,777,1055,3373,--,--,--
Q26,環保北,WAN PO NORTH,Q2601,將軍澳官立小學,Tseung Kwan O Government Primary School,136,1153,--,--,--,--
Q26,環保北,WAN PO NORTH,Q2602,康城社區會堂,Lohas Park Community Hall,529,1514,--,--,--,--
Q27,環保南,WAN PO SOUTH,Q2701,香港青年協會康城青年空間,The Hong Kong Federation of Youth Groups LOHAS Youth S.P.O.T.,2188,539,--,--,--,--
