"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4","候選人編號 5 
Candidate Number 5","候選人編號 6 
Candidate Number 6"
R01,沙田市中心,SHA TIN TOWN CENTRE,R0101,沙田大會堂,Sha Tin Town Hall,1023,2299,--,--,--,--
R01,沙田市中心,SHA TIN TOWN CENTRE,R0102,沙田官立中學,Sha Tin Government Secondary School,305,460,--,--,--,--
R02,瀝源,LEK YUEN,R0201,瀝源社區會堂,Lek Yuen Community Hall,1799,1406,--,--,--,--
R03,禾輋邨,WO CHE ESTATE,R0301,禾輋社區會堂,Wo Che Community Hall,2495,1602,1185,--,--,--
R06,王屋,WONG UK,R0601,慈航學校,Chi Hong Primary School,1032,1116,--,--,--,--
R06,王屋,WONG UK,R0602,富豪花園商場一樓富豪橋有蓋走廊,Belair Gardens Shopping Arcade 1/F Footbridge,904,995,--,--,--,--
R07,沙角,SHA KOK,R0701,佛教覺光法師中學,Buddhist Kok Kwong Secondary School,2627,2437,--,--,--,--
R08,博康,POK HONG,R0801,博康社區會堂,Pok Hong Community Hall,2859,2666,--,--,--,--
R09,乙明,JAT MIN,R0901,沙田圍胡素貞博士紀念學校,Sha Tin Wai Dr. Catherine F. Woo Memorial School,475,994,3004,--,--,--
R09,乙明,JAT MIN,R0902,香港女童軍總會博康營地,The Hong Kong Girl Guides Association Pok Hong Camp Site,66,56,217,--,--,--
R10,秦豐,CHUN FUNG,R1001,秦石社區會堂,Chun Shek Community Hall,1578,3724,--,--,--,--
R11,新田圍,SUN TIN WAI,R1101,新田圍社區會堂,Sun Tin Wai Community Hall,1052,1777,--,--,--,--
R11,新田圍,SUN TIN WAI,R1102,五育中學,Ng Yuk Secondary School,436,678,--,--,--,--
R12,翠田,CHUI TIN,R1201,九龍城浸信會禧年 (恩平) 小學,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,2048,1675,--,--,--,--
R13,顯嘉,HIN KA,R1301,香港中文大學校友會聯會張煊昌學校,CUHK FAA Thomas Cheung School,803,704,--,--,--,--
