"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4","候選人編號 5 
Candidate Number 5","候選人編號 6 
Candidate Number 6"
S01,葵興,KWAI HING,S0101,中華傳道會許大同學校,CNEC Ta Tung School,2931,1139,--,--,--,--
S02,葵盛東邨,KWAI SHING EAST ESTATE,S0201,基督教香港信義會葵盛信義學校,ELCHK Kwai Shing Lutheran Primary School,75,1833,677,3212,--,--
S03,上大窩口,UPPER TAI WO HAU,S0301,仁愛堂彭鴻樟幼稚園,Yan Oi Tong Pang Hung Cheung Kindergarten,1589,2217,--,--,--,--
S04,下大窩口,LOWER TAI WO HAU,S0401,佛教林炳炎紀念學校(香港佛教聯合會主辦),Buddhist Lam Bing Yim Memorial School (Sponsored by the Hong Kong Buddhist Association),3098,1369,--,--,--,--
S05,葵涌邨北,KWAI CHUNG ESTATE NORTH,S0501,中華基督教會全完中學,CCC Chuen Yuen College,2195,1617,--,--,--,--
S06,葵涌邨南,KWAI CHUNG ESTATE SOUTH,S0601,中華基督教會全完幼稚園,CCC Chuen Yuen Kindergarten,1299,1408,--,--,--,--
S06,葵涌邨南,KWAI CHUNG ESTATE SOUTH,S0602,聖公會仁立小學,SKH Yan Laap Primary School,491,912,--,--,--,--
S07,石蔭,SHEK YAM,S0701,聖公會主愛小學,SKH Chu Oi Primary School,2907,2853,--,--,--,--
S08,安蔭,ON YAM,S0801,慈幼葉漢小學,Salesian Yip Hon Primary School,2714,1831,--,--,--,--
S09,石籬南,SHEK LEI SOUTH,S0901,石籬 (一) 邨室內活動室,Shek Lei (I) Estate Indoor Activity Room,2974,3141,--,--,--,--
S10,石籬北,SHEK LEI NORTH,S1001,石籬社區會堂,Shek Lei Community Hall,2981,1459,--,--,--,--
S11,大白田,TAI PAK TIN,S1101,香港道教聯合會圓玄學院第一中學,HKTA The Yuen Yuen Institute No. 1 Secondary School,2884,1997,--,--,--,--
S12,葵芳,KWAI FONG,S1201,佛教林金殿紀念小學,Buddhist Lim Kim Tian Memorial Primary School,3301,1624,--,--,--,--
S13,華麗,WAH LAI,S1301,華景山莊北停車場地下會議室,"G/F, Conference Room, Northern Car Park, Wonderland Villas",159,308,554,--,--,--
S13,華麗,WAH LAI,S1302,迦密愛禮信中學,Carmel Alison Lam Foundation Secondary School,48,123,148,--,--,--
S13,華麗,WAH LAI,S1303,東華三院高可寧紀念小學,TWGHs Ko Ho Ning Memorial Primary School,56,276,1428,--,--,--
S15,祖堯,CHO YIU,S1501,香港四邑商工總會陳南昌紀念中學,The HKSYC&IA Chan Nam Chong Memorial College,2986,580,1230,--,--,--
S16,興芳,HING FONG,S1601,葵芳社區會堂,Kwai Fong Community Hall,2629,2701,--,--,--,--
S18,葵盛西邨,KWAI SHING WEST ESTATE,S1801,葵盛社區會堂,Kwai Shing Community Hall,3157,2146,--,--,--,--
S19,安灝,ON HO,S1901,地利亞(閩僑)英文小學,Delia (Man Kiu) English Primary School,2039,1375,--,--,--,--
S19,安灝,ON HO,S1902,中華基督教會燕京書院,CCC Yenching College,982,1292,--,--,--,--
S21,青衣邨,TSING YI ESTATE,S2101,荃灣商會學校,Tsuen Wan Trade Association Primary School,1311,655,54,2419,--,--
S22,翠怡,GREENFIELD,S2201,東華三院吳祥川紀念中學,TWGHs S. C. Gaw Memorial College,705,206,--,--,--,--
S22,翠怡,GREENFIELD,S2202,保良局世德小學,PLK Castar Primary School,2762,372,--,--,--,--
S23,長青,CHEUNG CHING,S2301,長青社區中心,Cheung Ching Estate Community Centre,1342,408,--,--,--,--
S23,長青,CHEUNG CHING,S2302,美景花園自修室,"Study Room, Mayfair Gardens",1881,865,--,--,--,--
S25,盛康,SHING HONG,S2501,樂善堂梁植偉紀念中學,Lok Sin Tong Leung Chik Wai Memorial School,990,2345,--,--,--,--
S26,青衣南,TSING YI SOUTH,S2601,藍澄會,Rambler Crest Club House,432,384,--,--,--,--
S26,青衣南,TSING YI SOUTH,S2602,聖公會青衣主恩小學,SKH Tsing Yi Chu Yan Primary School,1222,2830,--,--,--,--
S27,長亨,CHEUNG HANG,S2701,長亨社區會堂,Cheung Hang Community Hall,165,1838,2814,168,--,--
S28,青發,CHING FAT,S2801,長發社區中心,Cheung Fat Estate Community Centre,233,2283,282,2648,--,--
S29,長安,CHEUNG ON,S2901,中華傳道會呂明才小學,CNEC Lui Ming Choi Primary School,2359,1467,554,--,--,--
