"E 油尖旺 Yau Tsim Mong","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"E01","尖沙咀西","TSIM SHA TSUI WEST","E0101","九龍公園游泳池","Kowloon Park Swimming Pool","124","35","788","154","1003","--"
"E02","九龍站","KOWLOON STATION","E0201","仁愛堂陳鄭玉而幼稚園","Yan Oi Tong Chan Cheng Yuk Yee Kindergarten","82","1821","1928","--","--","--"
"E03","佐敦西","JORDAN WEST","E0301","油尖旺多元文化活動中心","Yau Tsim Mong Multicultural Activity Centre","2604","2233","--","--","--","--"
"E04","油麻地南","YAU MA TEI SOUTH","E0401","梁顯利油麻地社區中心","Henry G. Leong Yaumatei Community Centre","2432","2984","--","--","--","--"
"E05","富榮","CHARMING","E0501","油蔴地天主教小學(海泓道)","Yaumati Catholic Primary School (Hoi Wang Road)","133","4242","3373","--","--","--"
"E06","旺角西","MONG KOK WEST","E0601","旺角社區會堂","Mong Kok Community Hall","2102","1787","--","--","--","--"
"E07","富柏","FU PAK","E0701","保良局陳守仁小學","PLK Camões Tan Siu Lin Primary School","4748","2844","--","--","--","--"
"E08","奧運","OLYMPIC","E0801","香港亞洲歸主協會維港灣長者會所","Asian Outreach Hong Kong Island Harbourview Elderly Club","2957","2130","--","--","--","--"
"E09","櫻桃","CHERRY","E0901","路德會沙崙學校","Sharon Lutheran School","2310","2014","--","--","--","--"
"E10","大角咀南","TAI KOK TSUI SOUTH","E1001","大角嘴天主教小學","Tai Kok Tsui Catholic Primary School","2068","2632","--","--","--","--"
"E11","大角咀北","TAI KOK TSUI NORTH","E1101","中華基督教會基全小學","CCC Kei Tsun Primary School","3028","3301","--","--","--","--"
"E12","大南","TAI NAN","E1201","鮮魚行學校","Fresh Fish Traders' School","2943","57","2046","--","--","--"
"E13","旺角北","MONG KOK NORTH","E1301","聖公會基榮小學","SKH Kei Wing Primary School","2161","2076","--","--","--","--"
"E14","旺角東","MONG KOK EAST","E1401","界限街一號體育館","Boundary Street Sports Centre No. 1","2663","1821","--","--","--","--"
"E15","旺角南","MONG KOK SOUTH","E1501","優才(楊殷有娣)書院","G.T. (Ellen Yeung) College","1747","1977","--","--","--","--"
"E16","油麻地北","YAU MA TEI NORTH","E1601","東華三院羅裕積小學","TWGHs Lo Yu Chik Primary School","2573","1243","--","--","--","--"
"E17","尖東及京士柏","EAST TSIM SHA TSUI & KING'S PARK","E1701","油蔴地街坊會學校","Yaumati Kaifong Association School","1745","1567","--","--","--","--"
"E18","佐敦北","JORDAN NORTH","E1801","佐敦道官立小學","Jordan Road Government Primary School","1117","1423","--","--","--","--"
"E19","佐敦南","JORDAN SOUTH","E1901","九龍公園體育館","Kowloon Park Sports Centre","1516","1451","--","--","--","--"
"E20","尖沙咀中","TSIM SHA TSUI CENTRAL","E2001","入境事務處西九龍辦事處","Immigration Department West Kowloon Office","1533","1167","--","--","--","--"
