"J 觀塘 Kwun Tong","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"J01","觀塘中心","KWUN TONG CENTRAL","J0101","觀塘官立小學","Kwun Tong Government Primary School","1237","1499","--","--","--","--"
"J01","觀塘中心","KWUN TONG CENTRAL","J0102","觀塘社區中心","Kwun Tong Community Centre","1008","1364","--","--","--","--"
"J02","九龍灣","KOWLOON BAY","J0201","德福花園社區會堂","Telford Gardens Community Hall","3454","557","1286","--","--","--"
"J03","啓業","KAI YIP","J0301","啟業社區會堂","Kai Yip Community Hall","2342","2464","--","--","--","--"
"J03","啓業","KAI YIP","J0302","佐敦谷聖若瑟天主教小學","Jordan Valley St. Joseph's Catholic Primary School","1452","1969","--","--","--","--"
"J04","麗晶","LAI CHING","J0401","仁濟醫院羅陳楚思中學","Yan Chai Hospital Law Chan Chor Si College","5364","2494","--","--","--","--"
"J05","坪石","PING SHEK","J0501","坪石天主教小學","Ping Shek Estate Catholic Primary School","2982","2849","--","--","--","--"
"J06","彩德","CHOI TAK","J0601","香港遊樂場協會彩德青少年綜合服務中心","Hong Kong Playground Association Choi Tak Integrated Service Centre for Children & Youth","2882","2156","--","--","--","--"
"J07","佐敦谷","JORDAN VALLEY","J0701","香港基督教服務處樂暉長者地區中心","Hong Kong Christian Service Bliss District Elderly Community Centre","2390","2075","--","--","--","--"
"J07","佐敦谷","JORDAN VALLEY","J0702","天主教彩霞邨潔心幼稚園","Choi Ha Estate Kit Sam Kindergarten","1304","1485","--","--","--","--"
"J08","順天","SHUN TIN","J0801","寧波第二中學","Ning Po No. 2 College","3136","5123","--","--","--","--"
"J09","雙順","SHEUNG SHUN","J0901","順利社區中心","Shun Lee Estate Community Centre","94","1224","789","--","--","--"
"J09","雙順","SHEUNG SHUN","J0902","中華基督教會基順學校","CCC Kei Shun Special School","855","1782","3411","--","--","--"
"J10","安利","ON LEE","J1001","迦密梁省德學校","Carmel Leung Sing Tak School","3041","2067","--","--","--","--"
