"K 荃灣 Tsuen Wan","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"K01","德華","TAK WAH","K0101","雅麗珊社區中心","Princess Alexandra Community Centre","1756","1964","--","--","--","--"
"K02","楊屋道","YEUNG UK ROAD","K0201","荃灣天主教小學","Tsuen Wan Catholic Primary School","2614","108","2788","--","--","--"
"K03","荃灣南","TSUEN WAN SOUTH","K0301","荃灣聖芳濟中學","St. Francis Xavier's School, Tsuen Wan","1860","3261","880","--","--","--"
"K04","海濱","HOI BUN","K0401","天主教石鐘山紀念小學","Shak Chung Shan Memorial Catholic Primary School","1940","5113","22","1974","--","--"
"K05","荃灣西","TSUEN WAN WEST","K0501","荃灣西約體育館","Tsuen Wan West Sports Centre","4718","2910","--","--","--","--"
"K06","祈德尊","CLAGUE GARDEN","K0601","寶安商會王少清中學","POCA Wong Siu Ching Secondary School","2797","2730","--","--","--","--"
"K07","荃灣中心","TSUEN WAN CENTRE","K0701","柴灣角天主教小學","Chai Wan Kok Catholic Primary School","3887","2479","--","--","--","--"
"K08","愉景","DISCOVERY PARK","K0801","荃景圍體育館","Tsuen King Circuit Sports Centre","4498","3804","--","--","--","--"
"K09","福來","FUK LOI","K0901","荃灣潮州公學","Tsuen Wan Chiu Chow Public School","226","2871","2351","--","--","--"
"K10","綠楊","LUK YEUNG","K1001","蕙荃體育館","Wai Tsuen Sports Centre","3677","2810","--","--","--","--"
"K11","馬灣","MA WAN","K1101","中華基督教會基慧小學(馬灣)","CCC Kei Wai Primary School (Ma Wan)","3538","1493","90","--","--","--"
"K12","荃灣郊區","TSUEN WAN RURAL","K1201","圓玄學院荃灣西長者鄰舍中心","The Yuen Yuen Institute Tsuen Wan West Elderly Neighbourhood Centre","1615","1502","548","--","--","--"
"K12","荃灣郊區","TSUEN WAN RURAL","K1202","澳仙納幼稚園舊址","Former Site of Oceanic English Kindergarten","553","730","247","--","--","--"
"K12","荃灣郊區","TSUEN WAN RURAL","K1203","豪景花園遊樂會","Hongkong Garden Club Ltd.","886","1177","426","--","--","--"
"K13","汀深","TING SHAM","K1301","深井天主教小學","Sham Tseng Catholic Primary School","18","3489","2931","149","--","--"
"K14","麗濤","LAI TO","K1401","荃灣官立小學","Tsuen Wan Government Primary School","3624","5098","--","--","--","--"
"K15","荃威","ALLWAY","K1501","中華基督教會基慧小學","CCC Kei Wai Primary School","3622","2612","--","--","--","--"
"K15","荃威","ALLWAY","K1502","川龍村公所","Chuen Lung Village Office","822","834","--","--","--","--"
"K16","象石","CHEUNG SHEK","K1601","路德會呂明才中學","Lui Ming Choi Lutheran College","1513","1272","--","--","--","--"
"K16","象石","CHEUNG SHEK","K1602","博愛醫院歷屆總理聯誼會梁省德中學","AD&FD POHL Leung Sing Tak College","1344","1115","--","--","--","--"
"K17","石圍角","SHEK WAI KOK","K1701","香港道教聯合會圓玄學院石圍角小學","HKTA YYI Shek Wai Kok Primary School","2464","2684","--","--","--","--"
"K18","梨木樹西","LEI MUK SHUE WEST","K1801","梨木樹天主教小學","Lei Muk Shue Catholic Primary School","2108","4129","--","--","--","--"
"K19","梨木樹東","LEI MUK SHUE EAST","K1901","梨木樹社區會堂","Lei Muk Shue Community Hall","1826","4070","--","--","--","--"
"K19","梨木樹東","LEI MUK SHUE EAST","K1902","河背村村公所","Ho Pui Tsuen Village Office","615","1144","--","--","--","--"
