"L 屯門 Tuen Mun","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"L01","屯門市中心","TUEN MUN TOWN CENTRE","L0101","屯門大會堂展覽廳","Exhibition Gallery, Tuen Mun Town Hall","3254","1830","--","--","--","--"
"L01","屯門市中心","TUEN MUN TOWN CENTRE","L0102","青山天主教小學","Castle Peak Catholic Primary School","907","594","--","--","--","--"
"L02","兆置","SIU CHI","L0201","保良局香港道教聯合會圓玄小學","PLK HKTA Yuen Yuen Primary School","1298","4704","--","--","--","--"
"L02","兆置","SIU CHI","L0202","仁愛堂劉皇發夫人小學","Yan Oi Tong Madam Lau Wong Fat Primary School","325","1094","--","--","--","--"
"L03","安定","ON TING","L0301","安定/友愛社區中心","On Ting/Yau Oi Community Centre","2345","2900","--","--","--","--"
"L03","安定","ON TING","L0302","聖公會青山聖彼得堂兆麟苑幼稚園","SKH St. Peter's Church Castle Peak Siu Lun Court Kindergarten","968","1304","--","--","--","--"
"L04","兆翠","SIU TSUI","L0401","深培中學","Semple Memorial Secondary School","1944","2676","--","--","--","--"
"L04","兆翠","SIU TSUI","L0402","青松侯寶垣中學","Ching Chung Hau Po Woon Secondary School","2280","3093","--","--","--","--"
"L05","友愛南","YAU OI SOUTH","L0501","順德聯誼總會譚伯羽中學","STFA Tam Pak Yu College","3954","2279","--","--","--","--"
"L06","友愛北","YAU OI NORTH","L0601","伊斯蘭學校","Islamic Primary School","2959","1837","--","--","--","--"
"L06","友愛北","YAU OI NORTH","L0602","仁濟醫院何式南小學","YCH Ho Sik Nam Primary School","1115","508","--","--","--","--"
"L07","翠興","TSUI HING","L0701","馬錦明慈善基金馬可賓紀念中學","Stewards MKMCF Ma Ko Pan Memorial College","4662","3028","--","--","--","--"
"L08","山景","SHAN KING","L0801","山景社區會堂","Shan King Community Hall","2653","4780","--","--","--","--"
"L09","景興","KING HING","L0901","大興社區會堂","Tai Hing Community Hall","76","1876","2184","--","--","--"
