M 元朗 Yuen Long,區議會選區,Constituency,分區編號 DCCA Code,點票站,Counting Station,候選人編號 1 Candidate Number 1,候選人編號 2 Candidate Number 2,候選人編號 3 Candidate Number 3,候選人編號 4 Candidate Number 4,候選人編號 5 Candidate Number 5,候選人編號 6 Candidate Number 6
M01,豐年,FUNG NIN,M0101,元朗商會小學,Yuen Long Merchants Association Primary School,3476,3003,--,--,--,--
M02,元朗中心,YUEN LONG CENTRE,M0201,元朗郵政局,Yuen Long Post Office,1103,1527,--,--,--,--
M02,元朗中心,YUEN LONG CENTRE,M0202,鳳琴街體育館,Fung Kam Street Sports Centre,694,1110,--,--,--,--
M03,鳳翔,FUNG CHEUNG,M0301,佛教榮茵學校,Buddhist Wing Yan School,2448,3832,--,--,--,--
M04,元龍,YUEN LUNG,M0401,中華基督教會基元中學,CCC Kei Yuen College,3177,7,2281,--,--,--
M05,十八鄉中,SHAP PAT HEUNG CENTRAL,M0501,中華基督教會基朗中學,CCC Kei Long College,2523,76,1458,--,--,--
M05,十八鄉中,SHAP PAT HEUNG CENTRAL,M0502,明愛元朗陳震夏中學,Caritas Yuen Long Chan Chun Ha Secondary School,1490,63,1015,--,--,--
M06,水邊,SHUI PIN,M0601,聖公會靈愛小學,SKH Ling Oi Primary School,44,2067,1837,--,--,--
M06,水邊,SHUI PIN,M0602,元朗公立中學校友會小學,Yuen Long Public Middle School Alumni Association Primary School,42,1399,1962,--,--,--
M07,南屏,NAM PING,M0701,朗屏社區會堂,Long Ping Community Hall,2102,3727,126,--,--,--
M08,北朗,PEK LONG,M0801,元朗朗屏邨東莞學校,Yuen Long Long Ping Estate Tung Koon Primary School,2584,4382,--,--,--,--
M09,元朗東頭,YUEN LONG TUNG TAU,M0901,金巴崙長老會耀道中學,Cumberland Presbyterian Church Yao Dao Secondary School,2377,1614,--,--,--,--
M10,十八鄉北,SHAP PAT HEUNG NORTH,M1001,鐘聲學校,Chung Sing School,1602,1896,--,--,--,--
M11,十八鄉東,SHAP PAT HEUNG EAST,M1101,元朗官立小學,Yuen Long Government Primary School,1107,1413,402,--,--,--
M11,十八鄉東,SHAP PAT HEUNG EAST,M1102,瑋琦文化教育機構(殷翠幼稚園),Vichy Educational & Cultural Organisation Jade Kindergarten,393,425,86,--,--,--
M12,十八鄉西,SHAP PAT HEUNG WEST,M1201,香港童軍總會蔡志明聯光童軍中心,Scout Association of Hong Kong Choi Chee Ming Luen Kwong Scout Centre,1950,256,1810,--,--,--
M12,十八鄉西,SHAP PAT HEUNG WEST,M1202,水蕉新村村公所,Shui Tsiu San Tsuen Village Office,1441,88,1270,--,--,--
M13,屏山南,PING SHAN SOUTH,M1301,工業福音團契元朗惠群天地,The Industrial Evangelistic Fellowship Ltd. Yuen Long Wai Kwan Centre,7,1168,247,1024,--,--
M13,屏山南,PING SHAN SOUTH,M1302,可道中學(嗇色園主辦),Ho Dao College (Sponsored by Sik Sik Yuen),11,2004,282,1246,--,--
M14,洪福,HUNG FUK,M1401,香港青年協會洪水橋青年空間,The Hong Kong Federation of Youth Groups Hung Shui Kiu Youth S.P.O.T,1780,12,1626,--,--,--
M15,廈村,HA TSUEN,M1501,基督教香港信義會榮真堂,ELCHK Wing Jan Lutheran Church,178,363,--,--,--,--
