"Q 西貢 Sai Kung","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"Q01","西貢市中心","SAI KUNG CENTRAL","Q0101","西貢賽馬會大會堂","The Sai Kung Jockey Club Town Hall","1524","1905","--","--","--","--"
"Q01","西貢市中心","SAI KUNG CENTRAL","Q0102","萬宜漁村公共會堂","Man Yee Fishermen Village Community Hall","613","645","--","--","--","--"
"Q02","白沙灣","PAK SHA WAN","Q0201","前西貢中心小學","Ex-Sai Kung Central Primary School","2805","2109","--","--","--","--"
"Q03","西貢離島","SAI KUNG ISLANDS","Q0301","西貢中心李少欽紀念學校","Sai Kung Central Lee Siu Yam Memorial School","2127","1552","--","--","--","--"
"Q04","坑口東","HANG HAU EAST","Q0401","港澳信義會小學","Hong Kong and Macau Lutheran Church Primary School","1559","323","1850","--","--","--"
"Q05","坑口西","HANG HAU WEST","Q0501","新界西貢坑口區鄭植之中學","Cheng Chek Chee Secondary School of Sai Kung & Hang Hau District, N.T.","1858","1426","--","--","--","--"
"Q05","坑口西","HANG HAU WEST","Q0502","將軍澳官立中學","Tseung Kwan O Government Secondary School","1231","652","--","--","--","--"
"Q06","彩健","CHOI KIN","Q0601","寶覺中學","Po Kok Secondary School","1989","434","4724","88","1306","--"
"Q07","健明","KIN MING","Q0701","香海正覺蓮社佛教正覺中學","HHCKLA Buddhist Ching Kok Secondary School","1953","5414","--","--","--","--"
"Q08","都善","DO SHIN","Q0801","天主教聖安德肋小學","St. Andrew's Catholic Primary School","1741","927","2568","--","--","--"
"Q09","維景","WAI KING","Q0901","香港基督教女青年會將軍澳綜合社會服務處","HKYWCA Tseung Kwan O Integrated Social Service Centre","70","3021","3199","--","--","--"
"Q10","海晉","HOI CHUN","Q1001","法國國際學校 (將軍澳校舍)","French International School (Tseung Kwan O Campus)","17","240","2099","234","1350","--"
"Q11","寶怡","PO YEE","Q1101","播道書院","Evangel College","2480","4121","255","--","--","--"
"Q12","富君","FU KWAN","Q1201","仁濟醫院王華湘中學","YCH Wong Wha San Secondary School","3123","4948","--","--","--","--"
"Q13","澳唐","O TONG","Q1301","調景嶺體育館","Tiu Keng Leng Sports Centre","2762","4722","--","--","--","--"
"Q14","尚德","SHEUNG TAK","Q1401","尚德社區會堂","Sheung Tak Community Hall","3527","5585","--","--","--","--"
"Q15","廣明","KWONG MING","Q1501","香港道教聯合會圓玄學院第三中學","HKTA The Yuen Yuen Institute No.3 Secondary School","5240","3985","--","--","--","--"
"Q16","康景","HONG KING","Q1601","翠林體育館","Tsui Lam Sports Centre","964","512","--","--","--","--"
"Q16","康景","HONG KING","Q1602","景嶺書院","King Ling College","1639","1042","--","--","--","--"
"Q16","康景","HONG KING","Q1603","聖公會將軍澳基德小學","SKH Tseung Kwan O Kei Tak Primary School","1434","586","--","--","--","--"
"Q17","翠林","TSUI LAM","Q1701","翠林社區會堂","Tsui Lam Community Hall","3389","4222","--","--","--","--"
"Q18","寶林","PO LAM","Q1801","迦密主恩中學","Carmel Divine Grace Foundation Secondary School","4599","3385","--","--","--","--"
"Q19","欣英","YAN YING","Q1901","寶林邨文娛活動會堂","Po Lam Multipurpose Hall","5629","3193","--","--","--","--"
"Q20","慧茵","WAI YAN","Q2001","順德聯誼總會梁潔華小學","STFA Leung Kit Wah Primary School","3928","2486","--","--","--","--"
"Q21","運亨","WAN HANG","Q2101","東華三院王余家潔紀念小學","TWGHs Wong Yee Jar Jat Memorial Primary School ","106","3755","43","1859","--","--"
"Q22","景林","KING LAM","Q2201","景林鄰里社區中心","King Lam Neighbourhood Community Centre","4265","3233","788","--","--","--"
"Q23","厚德","HAU TAK","Q2301","天主教鳴遠中學","Catholic Ming Yuen Secondary School","5244","3579","--","--","--","--"
"Q24","富藍","FU NAM","Q2401","坑口社區會堂","Hang Hau Community Hall","3606","4743","--","--","--","--"
"Q25","德明","TAK MING","Q2501","仁濟醫院陳耀星小學","YCH Chan Iu Seng Primary School","5420","4217","--","--","--","--"
"Q26","南安","NAM ON","Q2601","保良局馮晴紀念小學","PLK Fung Ching Memorial Primary School","5524","2609","--","--","--","--"
"Q27","軍寶","KWAN PO","Q2701","仁愛堂田家炳小學","YOT Tin Ka Ping Primary School","3346","2016","--","--","--","--"
"Q28","環保北","WAN PO NORTH","Q2801","啓思中學","Creative Secondary School","1108","1008","390","--","--","--"
"Q28","環保北","WAN PO NORTH","Q2802","思貝禮國際學校","Shrewsbury International School Hong Kong","1890","1820","553","--","--","--"
"Q29","環保南","WAN PO SOUTH","Q2901","康城社區會堂","Lohas Park Community Hall","2063","3577","1139","--","--","--"
