"T 離島 Islands","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"T01","大嶼山","LANTAU","T0101","大澳永助聖母小堂","Our Lady of Perpetual Help Chapel (Tai O)","698","6","422","--","--","--"
"T01","大嶼山","LANTAU","T0104","醫療輔助隊東涌訓練中心","Auxiliary Medical Service Tung Chung Training Centre","471","5","318","--","--","--"
"T01","大嶼山","LANTAU","T0107","梅窩體育館","Mui Wo Sports Centre","1168","8","1370","--","--","--"
"T01","大嶼山","LANTAU","T0108","塘福鄉公所","Tong Fuk Village Office","173","--","138","--","--","--"
"T01","大嶼山","LANTAU","T0109","杯澳公立學校","Bui O Public School","363","2","385","--","--","--"
"T02","滿逸","MUN YAT","T0201","東涌天主教學校","Tung Chung Catholic School","1727","4924","--","--","--","--"
"T02","滿逸","MUN YAT","T0202","港青基信書院","YMCA Of Hong Kong Christian College","1145","1073","--","--","--","--"
"T03","逸東邨北","YAT TUNG ESTATE NORTH","T0301","香港教育工作者聯會黃楚標學校","HKFEW Wong Cho Bau School","5376","3323","--","--","--","--"
"T04","東涌南","TUNG CHUNG SOUTH","T0401","香港教育工作者聯會黃楚標中學","HKFEW Wong Cho Bau Secondary School","3619","183","5049","87","--","--"
"T05","東涌中","TUNG CHUNG CENTRAL","T0501","東涌社區會堂","Tung Chung Community Hall","2708","2359","--","--","--","--"
"T06","東涌北","TUNG CHUNG NORTH","T0601","嗇色園主辦可譽中學暨可譽小學","Ho Yu College and Primary School (Sponsored by Sik Sik Yuen)","1332","990","1045","--","--","--"
"T07","愉景灣","DISCOVERY BAY","T0701","愉景灣社區會堂","Discovery Bay Community Hall","2072","1132","--","--","--","--"
"T08","坪洲及喜靈洲","PENG CHAU & HEI LING CHAU","T0801","坪洲體育館","Peng Chau Sports Centre","1093","1499","--","--","--","--"
"T09","南丫及蒲台","LAMMA & PO TOI","T0901","南丫島北段鄉事委員會","Lamma Island (North) Rural Committee","1003","972","--","--","--","--"
"T10","長洲","CHEUNG CHAU","T1001","佛教慧因法師紀念中學","Buddhist Wai Yan Memorial College","1164","1845","--","--","--","--"
"T10","長洲","CHEUNG CHAU","T1002","明愛陳震夏郊野學園(聖保祿校舍)","Caritas Chan Chun Ha Field Studies Centre (St.Paul Campus)","524","1013","--","--","--","--"
"T10","長洲","CHEUNG CHAU","T1003","長洲體育館","Cheung Chau Sports Centre","653","936","--","--","--","--"
"T10","長洲","CHEUNG CHAU","T1004","國民學校","Kwok Man School","892","1348","--","--","--","--"
