,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of Counting Station 點票站名稱,,,801 ,802 ,803 ,804 ,805 ,806 ,807 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,Total 總數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC1,香港島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A 中西區 CENTRAL AND WESTERN DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0101,專業聯合中心,Joint Professional Centre,248 ,430 ,61 ,55 ,248 ,431 ,158 ,,,,,,,,"1,631 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0102,香港公園體育館,Hong Kong Park Sports Centre,352 ,323 ,69 ,75 ,210 ,537 ,89 ,,,,,,,,"1,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0201,高主教書院,Raimondi College,829 ,"1,021 ",150 ,157 ,563 ,936 ,317 ,,,,,,,,"3,973 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0401,德瑞國際學校,German Swiss International School,130 ,100 ,18 ,30 ,52 ,140 ,27 ,,,,,,,,497 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0501,聖士提反女子中學附屬小學,St. Stephen's Girls'  Primary School,848 ,"1,109 ",157 ,164 ,664 ,"1,033 ",316 ,,,,,,,,"4,291 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0601,香港基督教女青年會西環綜合社會服務處,HKYWCA Western District Integrated Social Service Centre,455 ,797 ,104 ,70 ,464 ,"1,112 ",315 ,,,,,,,,"3,317 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0701,士美非路體育館,Smithfield Sports Centre,520 ,819 ,121 ,101 ,538 ,"1,463 ",406 ,,,,,,,,"3,968 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0801,堅尼地城社區綜合大樓 (綜合用途室),Kennedy Town Community Complex (Multi-purpose Function Room),618 ,"1,094 ",155 ,119 ,670 ,"1,371 ",499 ,,,,,,,,"4,526 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0901,聖雅各福群會寶翠園幼稚園幼兒中心,St. James' Settlement Belcher Kindergarten Child Care Centre,617 ,"1,040 ",127 ,104 ,543 ,"1,146 ",392 ,,,,,,,,"3,969 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1001,石塘咀體育館,Shek Tong Tsui Sports Centre,605 ,"1,144 ",158 ,138 ,643 ,"1,731 ",571 ,,,,,,,,"4,990 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1101,中西區及離島區社會保障辦事處,Central and Western/ Islands Social Security Field Unit,144 ,239 ,28 ,27 ,143 ,496 ,116 ,,,,,,,,"1,193 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1102,中山紀念公園體育館,Sun Yat Sen Memorial Park Sports Centre,147 ,224 ,44 ,25 ,133 ,360 ,117 ,,,,,,,,"1,050 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1201,上環郵政局,Sheung Wan Post Office,395 ,611 ,96 ,84 ,321 ,777 ,287 ,,,,,,,,"2,571 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1301,新會商會學校,San Wui Commercial Society School,198 ,295 ,34 ,35 ,132 ,295 ,113 ,,,,,,,,"1,102 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
