DCCA Code,District,Geographical Constituency,Counting Station,801,802,803,804,805,806,807,808,809,Total ,dcca_winner,,,,,
A0101,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Joint Professional Centre,338,397,474,5,25,168,9,176,143,1735,803,,,,,
A0102,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Hong Kong Park Sports Centre,253,628,449,11,61,144,8,132,327,2013,802,,,,,
A0201,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Raimondi College,622,824,953,13,74,228,18,319,348,3399,803,,,,,
A0301,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Hong Kong True Light Kindergarten (Caine Road),369,536,586,16,31,162,11,221,185,2117,803,,,,,
A0302,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,"Centre for Food Safety (Hospital Road Office), Food and Environmental Hygiene Department",162,213,205,5,20,37,6,82,50,780,802,,,,,
A0401,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,German Swiss International School Peak Campus,66,150,128,1,17,15,1,17,77,472,802,,,,,
A0501,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Sai Ying Pun Community Complex Community Hall,604,853,1037,10,54,247,26,399,373,3603,803,,,,,
A0601,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,HKYWCA Western District Integrated Social Service Centre,648,1089,1043,30,69,282,31,448,180,3820,802,,,,,
A0701,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Smithfield Sports Centre,707,1608,1129,27,69,472,49,612,248,4921,802,,,,,
A0801,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Kennedy Town Community Complex (Multi-purpose Function Room),627,1235,1084,32,59,403,37,532,219,4228,802,,,,,
A0901,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Victoria (Belcher) Kindergarten,771,1009,1315,24,70,548,31,643,374,4785,803,,,,,
A1001,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Shek Tong Tsui Sports Centre,753,1133,1319,16,72,841,38,662,317,5151,803,,,,,
A1101,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Central and Western / Islands Social Security Field Unit,304,690,501,15,35,407,16,291,150,2409,802,,,,,
A1102,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Sun Yat Sen Memorial Park Sports Centre,166,286,275,5,14,124,11,149,60,1090,802,,,,,
A1201,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Sheung Wan Post Office,506,643,653,11,47,372,21,321,184,2758,803,,,,,
A1301,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,San Wui Commercial Society School,183,295,252,6,12,66,5,116,50,985,802,,,,,
A1302,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,SKH St. Matthew's Primary School,346,633,616,8,48,240,18,287,130,2326,802,,,,,
A1401,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Tsung Tsin Mission of Hong Kong Kau Yan Church and Kau Yan School,607,694,925,14,69,434,29,460,201,3433,803,,,,,
A1501,CENTRAL AND WESTERN DISTRICT,HONG KONG ISLAND,Li Sing Primary School,470,645,704,22,52,270,23,386,180,2752,803,,,,,
B0101,WAN CHAI DISTRICT,HONG KONG ISLAND,Hennessy Road Government Primary School,409,604,649,13,48,361,18,326,179,2607,803,,,,,
B0201,WAN CHAI DISTRICT,HONG KONG ISLAND,Tang Shiu Kin Victoria Government Secondary School,373,647,602,7,36,259,24,346,145,2439,802,,,,,
B0301,WAN CHAI DISTRICT,HONG KONG ISLAND,Former Wanchai School,510,871,864,13,88,346,25,357,240,3314,802,,,,,
B0401,WAN CHAI DISTRICT,HONG KONG ISLAND,Queen's College,633,866,1009,17,79,533,22,531,287,3977,803,,,,,
B0501,WAN CHAI DISTRICT,HONG KONG ISLAND,Island Children's Montessori School,117,161,211,5,9,59,3,80,63,708,803,,,,,
B0502,WAN CHAI DISTRICT,HONG KONG ISLAND,"Covered Carpark of Tsuen Wing Lau, Lai Tak Tsuen",394,496,484,11,28,496,32,295,114,2350,802,,,,,
B0601,WAN CHAI DISTRICT,HONG KONG ISLAND,"Wan Chai District Arts, Cultural, Recreational & Sports Association",395,442,505,13,32,298,11,271,181,2148,803,,,,,
B0701,WAN CHAI DISTRICT,HONG KONG ISLAND,Wan Chai District Women's Association,500,598,806,14,45,256,25,369,207,2820,803,,,,,
B0801,WAN CHAI DISTRICT,HONG KONG ISLAND,CCC Kung Lee College,403,783,619,13,57,196,8,206,432,2717,802,,,,,
B0901,WAN CHAI DISTRICT,HONG KONG ISLAND,Leighton Hill Community Hall,381,680,707,10,55,197,12,278,353,2673,803,,,,,
B1001,WAN CHAI DISTRICT,HONG KONG ISLAND,Wong Nai Chung Sports Centre,412,659,666,15,77,163,8,298,182,2480,803,,,,,
B1101,WAN CHAI DISTRICT,HONG KONG ISLAND,Precious Blood Primary School,94,145,124,1,19,37,1,54,66,541,802,,,,,
B1102,WAN CHAI DISTRICT,HONG KONG ISLAND,Hong Kong Children & Youth Services Sing Woo Children & Youth Centre,99,243,169,2,16,49,1,46,81,706,802,,,,,
B1201,WAN CHAI DISTRICT,HONG KONG ISLAND,Wan Chai Post Office,370,564,639,14,47,222,21,276,171,2324,803,,,,,
B1301,WAN CHAI DISTRICT,HONG KONG ISLAND,Methodist Centre,315,764,596,15,38,168,24,305,136,2361,802,,,,,
C0101,EASTERN DISTRICT,HONG KONG ISLAND,Eastern District JPC Club House,880,788,1258,10,46,331,18,544,384,4259,803,,,,,
C0201,EASTERN DISTRICT,HONG KONG ISLAND,St. Anna Anglo-Chinese Kindergarten,471,510,784,12,29,210,13,403,214,2646,803,,,,,
C0202,EASTERN DISTRICT,HONG KONG ISLAND,Tai Koo Shing Post Office,452,577,727,14,39,203,11,314,220,2557,803,,,,,
C0301,EASTERN DISTRICT,HONG KONG ISLAND,Sai Wan Ho Health Centre,690,718,986,17,53,408,17,504,291,3684,803,,,,,
C0401,EASTERN DISTRICT,HONG KONG ISLAND,CCC Kei Wan Primary School (Aldrich Bay),978,1431,1343,40,88,950,64,754,325,5973,802,,,,,
C0501,EASTERN DISTRICT,HONG KONG ISLAND,Shau Kei Wan Post Office,481,655,813,33,55,380,26,487,178,3108,803,,,,,
C0601,EASTERN DISTRICT,HONG KONG ISLAND,Aldrich Bay Government Primary School,496,648,763,17,61,458,24,452,181,3100,803,,,,,
C0602,EASTERN DISTRICT,HONG KONG ISLAND,Shau Kei Wan Government Primary School,463,609,649,23,56,628,18,447,155,3048,803,,,,,
C0701,EASTERN DISTRICT,HONG KONG ISLAND,Lingnan Secondary School,1133,1000,1790,34,98,972,40,855,530,6452,803,,,,,
C0801,EASTERN DISTRICT,HONG KONG ISLAND,SKH Li Fook Hing Secondary School,498,947,788,27,58,804,38,593,550,4303,802,,,,,
C0901,EASTERN DISTRICT,HONG KONG ISLAND,Fukien Secondary School (Siu Sai Wan),837,936,1417,31,72,800,29,659,388,5169,803,,,,,
C1001,EASTERN DISTRICT,HONG KONG ISLAND,Siu Sai Wan Community Hall,677,708,1202,50,84,1606,44,785,221,5377,806,,,,,
C1101,EASTERN DISTRICT,HONG KONG ISLAND,Lingnan Hang Yee Memorial Secondary School,993,914,1595,41,102,1400,57,901,360,6363,803,,,,,
