DCCA Code,Counting Station ,District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total,dcca_winner
A0101,Joint Professional Centre,CENTRAL AND WESTERN DISTRICT,34,20,408,62,160,14,81,217,4,112,0,13,591,143,149,2008,13
A0102,Hong Kong Park Sports Centre,CENTRAL AND WESTERN DISTRICT,129,21,896,86,329,44,35,218,8,256,1,41,336,208,216,2824,3
A0201,Raimondi College,CENTRAL AND WESTERN DISTRICT,194,36,1106,195,390,43,140,550,17,508,3,70,785,430,264,4731,3
A0301,Hong Kong True Light Kindergarten (Caine Road),CENTRAL AND WESTERN DISTRICT,106,26,652,100,249,12,82,342,12,245,3,22,532,243,165,2791,3
A0302,"Centre for Food Safety (Hospital Road Office), Food and Environmental Hygiene Department",CENTRAL AND WESTERN DISTRICT,43,10,223,38,96,8,38,133,8,82,1,12,194,109,48,1043,3
A0401,German Swiss International School Peak Campus,CENTRAL AND WESTERN DISTRICT,36,8,210,16,83,7,7,52,1,71,1,10,90,62,40,694,3
A0501,Sai Ying Pun Community Complex Community Hall,CENTRAL AND WESTERN DISTRICT,217,53,1051,208,457,45,149,780,24,452,3,41,676,473,297,4926,3
A0601,HKYWCA Western District Integrated Social Service Centre,CENTRAL AND WESTERN DISTRICT,135,115,433,212,910,37,224,628,16,422,7,44,674,443,223,4523,5
A0701,Smithfield Sports Centre,CENTRAL AND WESTERN DISTRICT,154,134,490,240,1484,30,300,753,12,486,3,40,546,477,409,5558,5
A0801,Kennedy Town Community Complex (Multi-purpose Function Room),CENTRAL AND WESTERN DISTRICT,109,80,418,204,1304,23,294,659,13,366,3,31,602,471,299,4876,5
A0901,Victoria (Belcher) Kindergarten,CENTRAL AND WESTERN DISTRICT,167,65,809,248,812,39,263,928,21,466,3,46,868,539,584,5858,8
A1001,Shek Tong Tsui Sports Centre,CENTRAL AND WESTERN DISTRICT,78,83,649,297,800,50,362,829,30,449,6,32,665,524,836,5690,15
A1101,Central and Western / Islands Social Security Field Unit,CENTRAL AND WESTERN DISTRICT,41,46,300,132,528,26,154,341,12,187,2,20,268,187,426,2670,5
A1102,Sun Yat Sen Memorial Park Sports Centre,CENTRAL AND WESTERN DISTRICT,20,14,117,59,205,9,79,191,2,94,2,7,152,117,149,1217,5
A1201,Sheung Wan Post Office,CENTRAL AND WESTERN DISTRICT,59,39,457,127,355,41,163,426,16,246,1,34,498,304,409,3175,13
A1301,San Wui Commercial Society School,CENTRAL AND WESTERN DISTRICT,28,18,162,52,175,10,50,155,3,76,1,19,231,89,75,1144,13
A1302,SKH St. Matthew's Primary School,CENTRAL AND WESTERN DISTRICT,73,46,351,102,430,20,154,449,14,209,1,20,375,236,239,2719,8
A1401,Tsung Tsin Mission of Hong Kong Kau Yan Church and Kau Yan School,CENTRAL AND WESTERN DISTRICT,109,66,573,194,383,35,239,686,27,333,3,33,567,421,409,4078,8
A1501,Li Sing Primary School,CENTRAL AND WESTERN DISTRICT,118,48,439,163,420,39,151,497,24,270,7,21,412,358,282,3249,8
B0101,Hennessy Road Government Primary School,WAN CHAI DISTRICT,84,50,501,142,337,37,185,419,8,304,3,29,269,293,311,2972,3
B0201,Tang Shiu Kin Victoria Government Secondary School,WAN CHAI DISTRICT,51,57,395,180,442,22,180,357,12,273,3,19,291,268,228,2778,5
B0301,Former Wanchai School,WAN CHAI DISTRICT,120,66,644,190,680,32,190,511,20,365,4,31,422,409,310,3994,5
B0401,Queen's College,WAN CHAI DISTRICT,139,57,838,257,513,28,251,668,25,420,2,32,503,536,523,4792,3
B0501,Island Children's Montessori School,WAN CHAI DISTRICT,41,8,207,37,82,6,30,128,5,129,0,7,123,120,64,987,3
