DCCA Code,Counting Station,District,1,2,3,4,5,6,7,8,9,10,11,12,Total ,dcca_winner
H0101,Wong Tai Sin Community Centre,WONG TAI SIN DISTRICT,1241,47,54,50,1211,575,18,894,836,715,264,549,6454,1
H0201,SKH Kei Tak Primary School,WONG TAI SIN DISTRICT,676,45,43,49,855,504,20,1205,740,565,188,591,5481,8
H0301,Lung Cheung Government Secondary School,WONG TAI SIN DISTRICT,1336,32,29,29,268,195,28,547,376,385,135,313,3673,1
H0401,Sik Sik Yuen Clinic,WONG TAI SIN DISTRICT,321,34,37,46,740,335,17,719,576,380,182,432,3819,5
H0501,Fung Tak Estate Community Centre,WONG TAI SIN DISTRICT,657,64,46,139,664,1266,31,992,867,628,308,650,6312,6
H0601,The Boys' & Girls' Clubs Association of Hong Kong Jockey Club Tsz Wan Shan Children & Youth Integrated Services Centre,WONG TAI SIN DISTRICT,373,23,28,276,747,282,18,543,655,428,249,431,4053,5
H0602,PLK Mrs. Maria Cheung Lifelong Learning Institute for the Senior,WONG TAI SIN DISTRICT,209,18,16,252,386,326,8,601,572,214,92,315,3009,8
H0701,Ho Lap College (Sponsored by the Sik Sik Yuen),WONG TAI SIN DISTRICT,250,14,18,16,785,203,14,299,369,275,59,262,2564,5
H0702,Canossa Primary School (San Po Kong),WONG TAI SIN DISTRICT,312,27,31,20,1032,267,10,471,562,379,162,340,3613,5
H0801,Tung Tau Community Centre,WONG TAI SIN DISTRICT,621,63,61,44,556,1258,38,742,799,585,130,512,5409,6
H0901,Bishop Walsh Primary School,WONG TAI SIN DISTRICT,337,31,28,29,551,285,15,302,361,264,78,283,2564,5
H1001,Morse Park Sports Centre,WONG TAI SIN DISTRICT,604,38,54,48,919,657,23,695,862,607,193,540,5240,5
H1101,The Hong Kong Federation of Youth Groups Jockey Club Wang Tau Hom Youth S.P.O.T.,WONG TAI SIN DISTRICT,219,29,15,16,219,903,6,293,462,329,101,276,2868,6
H1102,Hong Kong Federation of Handicapped Youth Jockey Club Activity Center,WONG TAI SIN DISTRICT,220,19,16,19,295,769,8,270,437,345,117,301,2816,6
H1201,Price Memorial Catholic Primary School,WONG TAI SIN DISTRICT,403,31,38,34,711,326,16,475,793,370,156,347,3700,9
H1202,Kit Sam Lam Bing Yim Secondary School,WONG TAI SIN DISTRICT,212,27,17,21,504,260,11,340,550,206,95,244,2487,9
H1301,Ho Tak Kindergarten (Sponsored by Sik Sik Yuen),WONG TAI SIN DISTRICT,502,23,26,20,390,184,18,356,392,249,92,273,2525,1
H1302,"Level 5, Tsui Chuk Commercial Complex",WONG TAI SIN DISTRICT,513,22,28,30,669,361,16,631,665,482,114,457,3988,5
H1401,Chuk Yuen Estate Community Centre,WONG TAI SIN DISTRICT,710,25,30,20,210,177,17,334,278,250,62,197,2310,1
H1402,Baptist Rainbow Primary School,WONG TAI SIN DISTRICT,665,24,11,13,178,129,13,231,268,248,64,205,2049,1
H1501,Chuk Yuen Sports Centre,WONG TAI SIN DISTRICT,1152,45,34,26,921,368,26,773,839,527,203,626,5540,1
H1601,Tsz Wan Shan (South) Estate Community Centre,WONG TAI SIN DISTRICT,505,52,38,29,404,1509,136,1122,515,824,264,537,5935,6
H1701,Chiu Ha Kindergarten,WONG TAI SIN DISTRICT,897,51,62,40,708,704,24,915,880,558,220,646,5705,8
H1801,TWS St. Bonaventure Catholic Primary School,WONG TAI SIN DISTRICT,1767,75,72,29,420,482,44,1036,584,968,256,645,6378,1
H1901,Tak Oi Secondary School,WONG TAI SIN DISTRICT,760,55,52,39,542,1234,30,927,765,835,292,745,6276,6
H2001,Hong Kong Sea Cadet Corps,WONG TAI SIN DISTRICT,577,14,12,6,233,186,13,1458,247,235,67,234,3282,8
H2002,Hong Kong Playground Association Jockey Club King Fu Integrated Service Centre For Children & Youth,WONG TAI SIN DISTRICT,924,21,28,22,315,231,12,1747,335,300,70,297,4302,8
H2101,PLK Anita L. L. Chan (Centenary) School,WONG TAI SIN DISTRICT,695,24,38,25,497,1151,16,791,699,492,155,505,5088,6
H2201,Hong Kong Kindergarten Association Pre-School,WONG TAI SIN DISTRICT,577,31,28,16,242,705,17,1043,328,389,100,303,3779,8
H2301,Choi Wan Estate Community Centre,WONG TAI SIN DISTRICT,1457,33,23,24,206,241,16,743,402,368,107,336,3956,1
H2401,Buddhist Hung Sean Chau Memorial College,WONG TAI SIN DISTRICT,762,20,16,12,396,300,9,1197,506,370,134,427,4149,8
H2402,CCC Kei Wa Primary School,WONG TAI SIN DISTRICT,684,15,18,17,128,114,11,326,149,152,49,146,1809,1
H2501,SKH St. Benedict's School,WONG TAI SIN DISTRICT,1671,41,35,22,247,209,22,667,391,418,127,361,4211,1
J0101,Kwun Tong Government Primary School,KWUN TONG DISTRICT,226,19,18,8,486,187,6,247,305,226,121,241,2090,5
J0102,Kwun Tong Community Centre,KWUN TONG DISTRICT,231,18,11,19,380,136,11,335,188,191,73,167,1760,5
