"界別
FC","功能界別(中文)
Functional Constituency(Chinese)","功能界別(英文)
Functional Constituency(English)","名單編號
List No.","名單排列次序
List Order","候選人英文姓名
English Name of Candidates","候選人英文別名
English Alias of Candidates","候選人中文姓名
Chinese Name of Candidates","候選人中文別名
Chinese Alias of Candidates","所得票數
Votes Obtained","當選
Elected"
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,801,a,TO KUN SUN JAMES,,涂謹申,,243930,Yes
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,802,a,LEE WAI KING STARRY,,李慧琼,,304222,Yes
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,802,b,HUNG LIN CHAM,,洪連杉,,304222,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,802,c,CHU LAP WAI,,朱立威,,304222,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,802,d,NGAN MAN YU,,顏汶羽,,304222,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,802,e,SIU KA YI,,蕭嘉怡,,304222,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,803,a,KWONG CHUN YU,,鄺俊宇,,491667,Yes
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,804,a,HO KAI MING KALVIN,,何啟明,,17175,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,805,a,CHAN YUEN SUM SUMLY,,陳琬琛,,28311,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,806,a,WONG KWOK HING,,王國興,,233236,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,806,b,MOK KIN WING,,莫健榮,,233236,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,806,c,WONG WANG TO,,黃宏滔,,233236,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,806,d,LAU KWAI YUNG,,劉桂容,,233236,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,807,a,KWAN WING YIP,,關永業,,23631,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,807,b,HUI YUI YU,,許鋭宇,,23631,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,807,c,LAI MING CHAK,,黎銘澤,,23631,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,808,a,LEUNG YIU CHUNG,,梁耀忠,,303457,Yes
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,809,a,CHOW HO DING HOLDEN,,周浩鼎,,264339,Yes
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,809,b,LI SAI WING,,李世榮,,264339,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,809,c,LAM LAM NIXIE,,林琳,,264339,
DS,區議會（第二）功能界別,DISTRICT COUNCIL (SECOND) FUNCTIONAL CONSTITUENCY,809,d,MO SHING FUNG,,巫成鋒,,264339,
