"界別
FC","功能界別(中文)
Functional Constituency(Chinese)","功能界別(英文)
Functional Constituency(English)","編號
Candidate No","候選人英文姓名
English Name of Candidates","候選人英文別名
English Alias of Candidates","候選人中文姓名
Chinese Name of Candidates","候選人中文別名
Chinese Alias of Candidates","所得票數
Votes Obtained","當選
Elected"
A,教育界,EDUCATION,A1,CHOI YUK LIN,,蔡若蓮,,18158,
A,教育界,EDUCATION,A2,IP KIN YUEN,,葉建源,,45984,Yes
AF,漁農界,AGRICULTURE AND FISHERIES,AF A,HO CHUN YIN STEVEN,,何俊賢,,98,Yes
AF,漁農界,AGRICULTURE AND FISHERIES,AF B,WONG YUNG KAN,,黃容根,,35,
B,法律界,LEGAL,B1,KWOK WING HANG,DENNIS,郭榮鏗,,3405,Yes
B,法律界,LEGAL,B2,MUN LEE MING,CATHERINE MUN,文理明,,1496,
C,會計界,ACCOUNTANCY,C1,LEUNG KAI CHEONG KENNETH,,梁繼昌,,12131,Yes
C,會計界,ACCOUNTANCY,C2,CHEN YUNG NGAI KENNETH,,陳弘毅,,6836,
CA,飲食界,CATERING,CA 1,CHEUNG YU YAN TOMMY,,張宇人,,2438,Yes
CA,飲食界,CATERING,CA 2,NG WING TAK,,伍永德,,647,
D,醫學界,MEDICAL,D1,CHAN PIERRE,,陳沛然,,5626,Yes
D,醫學界,MEDICAL,D2,WONG YEE HIM,,黃以謙,,2249,
E,衞生服務界,HEALTH SERVICES,E1,LEE KOK LONG JOSEPH,,李國麟,,15221,Yes
E,衞生服務界,HEALTH SERVICES,E2,CHOI PUI WAH,PHILIP,蔡沛華,,9430,
F,工程界,ENGINEERING,F1,LO WAI KWOK,,盧偉國,,3906,Yes
F,工程界,ENGINEERING,F2,CHING MING TAT,IR LOUIS CHING,程明達,程SIR,2097,
F,工程界,ENGINEERING,F3,LUK WANG KWONG,JOHN LUK,陸宏廣,,1039,
G,建築、測量、都市規劃及園境界,"ARCHITECTURAL, SURVEYING, PLANNING AND LANDSCAPE",G1,TSE WAI CHUEN TONY,,謝偉銓,,2009,
G,建築、測量、都市規劃及園境界,"ARCHITECTURAL, SURVEYING, PLANNING AND LANDSCAPE",G2,YIU CHUNG YIM,,姚松炎,,2491,Yes
G,建築、測量、都市規劃及園境界,"ARCHITECTURAL, SURVEYING, PLANNING AND LANDSCAPE",G3,LIM WAN FUNG BERNARD VINCENT,,林雲峯,,1235,
K,社會福利界,SOCIAL WELFARE,K1,KWAN YUI HUEN,,關鋭煊,,1255,
K,社會福利界,SOCIAL WELFARE,K2,TSANG KIN CHIU,,曾健超,,1011,
K,社會福利界,SOCIAL WELFARE,K3,SHIU KA CHUN,,邵家臻,,4603,Yes
K,社會福利界,SOCIAL WELFARE,K4,YIP KIN CHUNG,,葉建忠,,3858,
K,社會福利界,SOCIAL WELFARE,K5,WONG SING CHI,,黃成智,,557,
M,旅遊界,TOURISM,M1,LAM SIU LUN,,林少麟,平頭,114,
M,旅遊界,TOURISM,M2,YIU SI WING,,姚思榮,,625,Yes
M,旅遊界,TOURISM,M3,YIP HING NING FREDDY,,葉慶寧,,288,
N,商界（第一）,COMMERCIAL (FIRST),N1,CHAN HO LIM JOSEPH,,陳浩濂,,388,
N,商界（第一）,COMMERCIAL (FIRST),N2,LAM KIN FUNG JEFFREY,,林健鋒,,455,Yes
TR,航運交通界,TRANSPORT,TR A,YICK CHI MING FRANKIE,,易志明,,127,Yes
TR,航運交通界,TRANSPORT,TR B,YAU YING WAH,,丘應樺,,42,
U,金融服務界,FINANCIAL SERVICES,U1,CHEUNG WAH FUNG CHRISTOPHER,,張華峯,張華峰,261,Yes
U,金融服務界,FINANCIAL SERVICES,U2,CHIM KIM LUN RICKY,,詹劍崙,,150,
U,金融服務界,FINANCIAL SERVICES,U3,TSUI LUEN ON,,徐聯安,,96,
V,體育、演藝、文化及出版界,"SPORTS, PERFORMING ARTS, CULTURE AND PUBLICATION",V1,CHOW POK YIN,,周博賢,,809,
V,體育、演藝、文化及出版界,"SPORTS, PERFORMING ARTS, CULTURE AND PUBLICATION",V2,MA FUNG KWOK,,馬逢國,,1389,Yes
X,紡織及製衣界,TEXTILES AND GARMENT,X1,CHUNG KWOK PAN,,鍾國斌,,1138,Yes
X,紡織及製衣界,TEXTILES AND GARMENT,X2,YANG SI KIT KENNY,,楊詩傑,,361,
Y,批發及零售界,WHOLESALE AND RETAIL,Y1,AU NOK HIN,,區諾軒,,1231,
Y,批發及零售界,WHOLESALE AND RETAIL,Y2,SHIU KA FAI,,邵家輝,,2290,Yes
Z,資訊科技界,INFORMATION TECHNOLOGY,Z1,MOK CHARLES PETER,,莫乃光,,6253,Yes
Z,資訊科技界,INFORMATION TECHNOLOGY,Z2,YEUNG CHUEN SING,ERIC,楊全盛,,3425,
