"選 區
LC","地 方 選 區(中文)
Geographical Constituency(Chinese)","地 方 選 區(英文)
Geographical Constituency(English)","名單編號
List No.","名單排列次序
List Order","候選人英文姓名
English Name of Candidates","候選人英文別名
English Alias of Candidates","候選人中文姓名
Chinese Name of Candidates","候選人中文別名
Chinese Alias of Candidates","所得票數
Votes Obtained","當選
Elected"
LC1,香港島,HONG KONG ISLAND,1,a,WONG CHI HIM,GARY,黃梓謙,,10028,
LC1,香港島,HONG KONG ISLAND,2,a,LAU GAR HUNG CHRISTOPHER,,劉嘉鴻,,7276,
LC1,香港島,HONG KONG ISLAND,2,b,YUEN MI MING ERICA,,袁彌明,,7276,
LC1,香港島,HONG KONG ISLAND,3,a,IP LAU SUK YEE REGINA,,葉劉淑儀,,60760,Yes
LC1,香港島,HONG KONG ISLAND,3,b,CHAN JUDY KAPUI,,陳家珮,,60760,
LC1,香港島,HONG KONG ISLAND,3,c,LEE MAN LUNG JOEY,,李文龍,,60760,
LC1,香港島,HONG KONG ISLAND,3,d,TSE TSZ KEI,,謝子祺,,60760,
LC1,香港島,HONG KONG ISLAND,3,e,HUNG LUNG CHUEN,,洪龍荃,,60760,
LC1,香港島,HONG KONG ISLAND,3,f,WONG CHING CHI GIGI,,王政芝,,60760,
LC1,香港島,HONG KONG ISLAND,4,a,HO SAU LAN CYD,,何秀蘭,,19376,
LC1,香港島,HONG KONG ISLAND,4,b,MAK TAK CHING,,麥德正,,19376,
LC1,香港島,HONG KONG ISLAND,4,c,CHENG SZE LUT,,鄭司律,,19376,
LC1,香港島,HONG KONG ISLAND,5,a,CHEUNG KWOK KWAN,,張國鈞,,41152,Yes
LC1,香港島,HONG KONG ISLAND,5,b,CHUNG SHU KUN CHRISTOPHER,CHRIS,鍾樹根,,41152,
LC1,香港島,HONG KONG ISLAND,5,c,CHUNG KA MAN JACQUELINE,,鍾嘉敏,,41152,
LC1,香港島,HONG KONG ISLAND,5,d,MAK TSE HOW LING ADA,,麥謝巧玲,,41152,
LC1,香港島,HONG KONG ISLAND,5,e,TING KONG HO EDDIE,,丁江浩,,41152,
LC1,香港島,HONG KONG ISLAND,5,f,WONG CHI CHUNG,DOMINIC,王志鍾,,41152,
LC1,香港島,HONG KONG ISLAND,6,a,CHIM PUI CHUNG,,詹培忠,,2587,
LC1,香港島,HONG KONG ISLAND,7,a,CHENG KAM MUN,,鄭錦滿,四眼哥哥,22555,
LC1,香港島,HONG KONG ISLAND,7,b,CHUNG YUEN WUN,BONIX,鍾琬媛,,22555,
LC1,香港島,HONG KONG ISLAND,8,a,LAW KWUN CHUNG,NATHAN,羅冠聰,,50818,Yes
LC1,香港島,HONG KONG ISLAND,9,a,SHUM CHEE CHIU,,沈志超,,1654,
LC1,香港島,HONG KONG ISLAND,10,a,WONG WAI KAY,RICKY,王維基,,33323,
LC1,香港島,HONG KONG ISLAND,11,a,CHUI CHI KIN,,徐子見,,670,
LC1,香港島,HONG KONG ISLAND,12,a,ZIMMERMAN PAULUS JOHANNES,,司馬文,,2550,
LC1,香港島,HONG KONG ISLAND,13,a,HUI CHI FUNG,,許智峯,,42499,Yes
LC1,香港島,HONG KONG ISLAND,13,b,SIN CHUNG KAI,,單仲偕,,42499,
LC1,香港島,HONG KONG ISLAND,14,a,CHAN TANYA,,陳淑莊,,35404,Yes
LC1,香港島,HONG KONG ISLAND,14,b,CHENG TAT HUNG,,鄭達鴻,,35404,
LC1,香港島,HONG KONG ISLAND,15,a,KWOK WAI KEUNG,,郭偉强,,45925,Yes
LC1,香港島,HONG KONG ISLAND,15,b,NG CHAU PEI,,吳秋北,,45925,
LC1,香港島,HONG KONG ISLAND,15,c,HO NGAI KAM STANLEY,,何毅淦,,45925,
LC1,香港島,HONG KONG ISLAND,15,d,LUI HUNG PAN,,呂鴻賓,,45925,
LC1,香港島,HONG KONG ISLAND,15,e,CHAN WING YAN,,陳榮恩,,45925,
