"選 區
LC","地 方 選 區(中文)
Geographical Constituency (Chinese)","地 方 選 區(英文)
Geographical Constituency (English)","名單編號
List No.","名單排列次序
List Order","候選人英文姓名
English Name of Candidates","候選人英文別名
English Alias of Candidates","候選人中文姓名
Chinese Name of Candidates","候選人中文別名
Chinese Alias of Candidates","所得票數
Votes Obtained","當選
Elected"
LC3,九龍東,KOWLOON EAST,1,a,WONG KWOK KIN,,黃國健,,47318,Yes
LC3,九龍東,KOWLOON EAST,1,b,CHOW LUEN KIU,,周聯僑,,47318,
LC3,九龍東,KOWLOON EAST,1,c,KAN MING TUNG,,簡銘東,,47318,
LC3,九龍東,KOWLOON EAST,1,d,KWOK WANG HING,,郭宏興,,47318,
LC3,九龍東,KOWLOON EAST,2,a,WU SUI SHAN,,胡穗珊,,2535,
LC3,九龍東,KOWLOON EAST,2,b,CHIU SHI SHUN,,趙仕信,,2535,
LC3,九龍東,KOWLOON EAST,3,a,KO TAT PUN PATRICK,,高達斌,,2444,
LC3,九龍東,KOWLOON EAST,4,a,TAM HEUNG MAN,,譚香文,,2603,
LC3,九龍東,KOWLOON EAST,5,a,TSE WAI CHUN PAUL,,謝偉俊,,47527,Yes
LC3,九龍東,KOWLOON EAST,6,a,OR CHONG SHING WILSON,,柯創盛,,51516,Yes
LC3,九龍東,KOWLOON EAST,6,b,LAI WING HO JOE,,黎榮浩,,51516,
LC3,九龍東,KOWLOON EAST,6,c,CHEUNG KI TANG,,張琪騰,,51516,
LC3,九龍東,KOWLOON EAST,7,a,LUI WING KEI,,呂永基,,1393,
LC3,九龍東,KOWLOON EAST,8,a,WU CHI WAI,,胡志偉,,50309,Yes
LC3,九龍東,KOWLOON EAST,8,b,MOK KIN SHING,,莫建成,,50309,
LC3,九龍東,KOWLOON EAST,8,c,CHENG KENG IEONG,,鄭景陽,,50309,
LC3,九龍東,KOWLOON EAST,8,d,WU CHI KIN,,胡志健,,50309,
LC3,九龍東,KOWLOON EAST,9,a,TAM MAN HO JEREMY JANSEN,,譚文豪,,45408,Yes
LC3,九龍東,KOWLOON EAST,9,b,LEONG KAH KIT ALAN,,梁家傑,,45408,
LC3,九龍東,KOWLOON EAST,10,a,WONG YEUNG TAT,,黃洋達,,33271,
LC3,九龍東,KOWLOON EAST,11,a,CHAN CHAK TO,,陳澤滔,,12854,
LC3,九龍東,KOWLOON EAST,12,a,TAM TAK CHI,FASTBEAT,譚得志,快必,31815,
